its, t_max, delta_t, its_eq, -, -, -, -
1000, 10, 0.010000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
21.091488, -637.070571, -615.979083, 637.386862, 637.386862, 1560.223178, 1560.223178, 4.030000
44.863515, -661.607001, -616.743486, 996.583362, 1355.779862, 1269.612044, 979.000910, 4.030000
44.500103, -660.139295, -615.639191, 1112.654756, 1344.797544, 1182.687847, 1008.839454, 4.030000
30.821557, -645.633952, -614.812395, 1067.348696, 931.430517, 1250.361172, 1453.381145, 4.030000
19.528979, -633.559091, -614.030112, 971.912495, 590.167688, 1367.714229, 1837.126456, 4.030000
20.725855, -635.309324, -614.583469, 914.316643, 626.337388, 1443.096999, 1820.010854, 4.030000
28.203569, -643.543727, -615.340158, 905.459218, 852.314664, 1462.839646, 1581.295527, 4.030000
30.636728, -646.075741, -615.439013, 908.007437, 925.844970, 1465.663211, 1485.428165, 4.030000
26.005242, -640.892649, -614.887408, 894.437831, 785.880983, 1483.745062, 1628.399871, 4.030000
21.508574, -636.037478, -614.528904, 869.993172, 649.991242, 1513.541731, 1781.711754, 4.030000
22.870156, -637.552052, -614.681896, 853.733645, 691.138377, 1534.558578, 1744.727047, 4.030000
28.588269, -643.600127, -615.011859, 854.584201, 863.940313, 1535.340249, 1543.938623, 4.030000
33.105067, -648.437558, -615.332491, 865.803755, 1000.438409, 1521.448471, 1354.747142, 4.030000
31.902413, -647.109904, -615.207491, 872.824494, 964.094094, 1509.122485, 1348.884667, 4.030000
26.883404, -641.677027, -614.793622, 868.797471, 812.419151, 1508.365013, 1497.760407, 4.030000
23.890017, -638.532713, -614.642696, 859.620046, 721.958681, 1516.222309, 1634.081749, 4.030000
25.634978, -640.435040, -614.800062, 854.624255, 774.691587, 1524.119042, 1650.466774, 4.030000
29.523220, -644.632460, -615.109240, 856.711498, 892.194637, 1526.443989, 1565.968085, 4.030000
30.937569, -646.132432, -615.194863, 860.828599, 934.936418, 1525.283077, 1504.386662, 4.030000
28.365739, -643.368666, -615.002927, 860.647941, 857.215438, 1525.714043, 1533.902389, 4.030000
24.978394, -639.622192, -614.643797, 855.609923, 754.849553, 1529.132497, 1597.501569, 4.030000
25.184531, -639.952016, -614.767485, 851.313064, 761.079029, 1532.630898, 1606.097330, 4.030000
27.707736, -642.791046, -615.083311, 850.705127, 837.330521, 1534.555407, 1576.894598, 4.030000
28.564072, -643.589083, -615.025011, 851.226126, 863.209107, 1536.190352, 1573.794098, 4.030000
27.754738, -642.660692, -614.905954, 850.727118, 838.750926, 1538.280758, 1588.450496, 4.030000
27.043180, -641.896544, -614.853364, 849.439444, 817.247596, 1540.552193, 1597.338070, 4.030000
27.514722, -642.334053, -614.819331, 848.774933, 831.497638, 1541.641426, 1569.961483, 4.030000
29.005180, -643.995969, -614.990790, 849.766521, 876.539405, 1540.945213, 1522.147457, 4.030000
29.429424, -644.423293, -614.993869, 851.131818, 889.360126, 1540.681389, 1533.294318, 4.030000
