its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
E_kin, E_pot, E_tot, <T>, T, <P>, P, a
0.000000, -502.206833, -502.206833, 0.000000, 0.100000, 0.009957, 0.009957, 4.000000
30.076514, -502.505356, -472.428841, 454.507623, 908.915246, 0.011150, 0.012344, 4.000056
35.700871, -508.470167, -472.769296, 662.633042, 1078.883879, 0.011295, 0.011584, 4.000125
41.019332, -514.247454, -473.228122, 806.876851, 1239.608279, 0.011168, 0.010788, 4.000190
45.894799, -519.686983, -473.792183, 922.890560, 1386.945397, 0.010932, 0.009988, 4.000251
50.237347, -524.686520, -474.449172, 1022.105071, 1518.177627, 0.010645, 0.009210, 4.000307
53.999193, -529.185819, -475.186626, 1109.213059, 1631.860985, 0.010335, 0.008475, 4.000359
57.165179, -533.157307, -475.992128, 1186.503599, 1727.537380, 0.010017, 0.007791, 4.000407
59.742123, -536.595629, -476.853505, 1255.271299, 1805.412896, 0.009700, 0.007160, 4.000450
61.750155, -539.509067, -477.758912, 1316.353749, 1866.095806, 0.009388, 0.006579, 4.000491
63.217573, -541.914562, -478.696989, 1370.361710, 1910.441318, 0.009084, 0.006047, 4.000528
64.178460, -543.835483, -479.657023, 1417.788187, 1939.479428, 0.008791, 0.005564, 4.000562
64.671395, -545.300623, -480.629229, 1459.064170, 1954.375964, 0.008509, 0.005131, 4.000593
64.738059, -546.342902, -481.604843, 1494.587483, 1956.390560, 0.008241, 0.004752, 4.000622
64.421706, -546.997620, -482.575914, 1524.737008, 1946.830361, 0.007987, 0.004427, 4.000649
63.765641, -547.301120, -483.535479, 1549.878695, 1927.004002, 0.007747, 0.004156, 4.000673
62.811668, -547.289012, -484.477344, 1570.366704, 1898.174841, 0.007523, 0.003936, 4.000697
61.599308, -546.995424, -485.396116, 1586.542843, 1861.537206, 0.007314, 0.003768, 4.000719
60.165354, -546.452581, -486.287228, 1598.735481, 1818.202962, 0.007121, 0.003649, 4.000740
58.543586, -545.690350, -487.146764, 1607.258356, 1769.192980, 0.006944, 0.003576, 4.000761
56.765036, -544.736416, -487.971380, 1612.410102, 1715.445018, 0.006782, 0.003548, 4.000781
54.858185, -543.616608, -488.758423, 1614.474179, 1657.819803, 0.006636, 0.003560, 4.000801
52.849188, -542.354914, -489.505726, 1613.719115, 1597.107708, 0.006504, 0.003606, 4.000821
50.762200, -540.973846, -490.211645, 1610.399099, 1534.038734, 0.006387, 0.003683, 4.000841
48.619710, -539.494648, -490.874937, 1604.754834, 1469.292474, 0.006283, 0.003784, 4.000862
46.442985, -537.937881, -491.494896, 1597.014711, 1403.511624, 0.006191, 0.003907, 4.000883
44.252480, -536.323589, -492.071109, 1587.396178, 1337.314330, 0.006112, 0.004046, 4.000905
42.068096, -534.671744, -492.603648, 1576.107102, 1271.302038, 0.006043, 0.004196, 4.000928
39.909403, -533.002435, -493.093031, 1563.347068, 1206.066135, 0.005985, 0.004353, 4.000951
37.795884, -531.335852, -493.539968, 1549.308678, 1142.195367, 0.005936, 0.004512, 4.000976
35.747006, -529.692800, -493.945794, 1534.178659, 1080.278072, 0.005895, 0.004671, 4.001001
33.782122, -528.094048, -494.311927, 1518.138672, 1020.899072, 0.005862, 0.004825, 4.001027
31.920115, -526.560544, -494.640429, 1501.365652, 964.629030, 0.005835, 0.004972, 4.001054
30.178893, -525.112392, -494.933498, 1484.031637, 912.009153, 0.005813, 0.005108, 4.001082
28.574926, -523.768687, -495.193761, 1466.303222, 863.537093, 0.005797, 0.005231, 4.001111
27.122732, -522.546716, -495.423984, 1448.340678, 819.651641, 0.005784, 0.005337, 4.001141
25.834388, -521.461624, -495.627236, 1430.296816, 780.717783, 0.005774, 0.005426, 4.001171
24.719067, -520.525766, -495.806699, 1412.315654, 747.012671, 0.005767, 0.005494, 4.001201
23.782710, -519.748402, -495.965692, 1394.531044, 718.715853, 0.005761, 0.005541, 4.001232
23.027830, -519.135500, -496.107669, 1377.065351, 695.903322, 0.005756, 0.005566, 4.001263
22.453416, -518.689388, -496.235972, 1360.028256, 678.544464, 0.005752, 0.005569, 4.001294
22.054932, -518.409001, -496.354069, 1343.515732, 666.502240, 0.005747, 0.005548, 4.001326
21.824533, -518.289782, -496.465249, 1327.609309, 659.539558, 0.005741, 0.005504, 4.001357
21.751428, -518.324166, -496.572737, 1312.375696, 657.330320, 0.005734, 0.005439, 4.001388
21.822266, -518.501825, -496.679558, 1297.866704, 659.471052, 0.005726, 0.005353, 4.001418
22.021713, -518.810179, -496.788465, 1284.119566, 665.498359, 0.005715, 0.005248, 4.001449
22.333067, -519.235073, -496.902006, 1271.157607, 674.907502, 0.005703, 0.005124, 4.001478
22.738807, -519.761131, -497.022324, 1258.991178, 687.169003, 0.005688, 0.004983, 4.001507
23.221180, -520.372497, -497.151317, 1247.618835, 701.746371, 0.005670, 0.004827, 4.001535
