its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
x_1, y_1, z_1, x_2, y_2, z_2, x_3, y_3, z_3, x_4, y_4, z_4
0.065192, 0.064972, 0.065098, 2.086542, 0.086461, 14.086511, 2.259430, 4.258816, 10.258992, 2.255782, 8.256417, 2.255823
0.064194, 0.059354, 0.062125, 2.088064, 0.086234, 14.087541, 2.255970, 4.242479, 10.246439, 2.244384, 8.258456, 2.245278
0.063112, 0.053262, 0.058904, 2.089718, 0.085991, 14.088686, 2.252191, 4.224859, 10.232917, 2.232084, 8.260640, 2.233903
0.061954, 0.046736, 0.055460, 2.091485, 0.085735, 14.089874, 2.248079, 4.206139, 10.218539, 2.219007, 8.262874, 2.221818
0.060725, 0.039817, 0.051814, 2.093354, 0.085471, 14.091097, 2.243635, 4.186518, 10.203458, 2.205289, 8.265104, 2.209147
0.059436, 0.032545, 0.047992, 2.095315, 0.085202, 14.092345, 2.238863, 4.166184, 10.187815, 2.191056, 8.267276, 2.196007
0.058091, 0.024959, 0.044013, 2.097356, 0.084934, 14.093609, 2.233774, 4.145307, 10.171735, 2.176426, 8.269342, 2.182501
0.056698, 0.017097, 0.039898, 2.099468, 0.084669, 14.094883, 2.228382, 4.124041, 10.155329, 2.161504, 8.271259, 2.168721
0.055263, 0.008995, 0.035668, 2.101641, 0.084413, 14.096159, 2.222706, 4.102520, 10.138690, 2.146386, 8.272986, 2.154747
0.053793, 0.000691, 0.031340, 2.103865, 0.084169, 14.097428, 2.216768, 4.080866, 10.121898, 2.131155, 8.274487, 2.140647
0.052291, -0.007782, 0.026930, 2.106130, 0.083942, 14.098684, 2.210590, 4.059186, 10.105022, 2.115885, 8.275726, 2.126478
0.050762, -0.016390, 0.022453, 2.108426, 0.083735, 14.099919, 2.204198, 4.037579, 10.088123, 2.100640, 8.276673, 2.112288
0.049210, -0.025103, 0.017922, 2.110745, 0.083553, 14.101125, 2.197615, 4.016129, 10.071253, 2.085476, 8.277300, 2.098117
0.047637, -0.033890, 0.013349, 2.113076, 0.083398, 14.102296, 2.190867, 3.994916, 10.054458, 2.070443, 8.277581, 2.083998
0.046045, -0.042724, 0.008743, 2.115413, 0.083274, 14.103424, 2.183978, 3.974009, 10.037776, 2.055582, 8.277492, 2.069956
0.044435, -0.051580, 0.004111, 2.117745, 0.083185, 14.104504, 2.176972, 3.953471, 10.021246, 2.040930, 8.277011, 2.056014
0.042807, -0.060434, -0.000541, 2.120066, 0.083134, 14.105529, 2.169872, 3.933359, 10.004898, 2.026518, 8.276119, 2.042186
0.041159, -0.069265, -0.005209, 2.122368, 0.083123, 14.106494, 2.162699, 3.913728, 9.988765, 2.012374, 8.274800, 2.028487
0.039491, -0.078052, -0.009891, 2.124644, 0.083156, 14.107394, 2.155476, 3.894627, 9.972874, 1.998523, 8.273039, 2.014927
0.037799, -0.086779, -0.014588, 2.126887, 0.083236, 14.108224, 2.148220, 3.876101, 9.957254, 1.984985, 8.270822, 2.001513
0.036080, -0.095430, -0.019301, 2.129091, 0.083363, 14.108980, 2.140953, 3.858195, 9.941933, 1.971780, 8.268140, 1.988253
0.034330, -0.103991, -0.024033, 2.131251, 0.083541, 14.109657, 2.133691, 3.840949, 9.926937, 1.958925, 8.264983, 1.975152
0.032543, -0.112450, -0.028788, 2.133361, 0.083773, 14.110250, 2.126451, 3.824402, 9.912296, 1.946435, 8.261347, 1.962217
0.030715, -0.120797, -0.033574, 2.135417, 0.084059, 14.110758, 2.119249, 3.808592, 9.898037, 1.934325, 8.257227, 1.949451
