its, its_eq, delta_t [ps], a_0 [Å], -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
5000, 3000, 0.001000, 4.143157, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.078966, 0.265105, 0.399940, 0.873327, 1.142066, 1.971717, 2.116611, 2.969531, 3.413087, 3.516660, 4.123040, 2.785727, 2.793574, 2.823727, 2.237964, 1.642314, 1.591008, 1.349311, 1.225360, 0.826111, 0.586698, 0.398788, 0.368950, 0.233064, 0.331172, 0.356006, 0.280409, 0.208713, 0.250120, 0.395890, 0.474758, 0.535045, 0.521671, 0.783817, 0.872030, 0.602261, 0.677391, 0.686416, 0.560745, 0.535947, 0.581964, 0.546133, 0.611874, 0.533145, 0.596065, 0.791552, 0.876648, 0.967965, 1.211623, 1.588572, 1.481161, 1.671685, 1.890295, 1.844045, 1.842493, 2.018778, 1.547364, 1.697429, 1.353143, 1.414281, 1.010224, 1.135523, 0.847308, 0.941522, 0.774177, 0.880181, 0.968509, 0.727346, 0.768250, 0.932408, 0.684227, 0.736193, 0.805054, 0.853124, 0.881399, 0.813619, 0.841399, 0.919930, 0.916646, 1.074858, 0.904563, 1.122620, 1.163806, 1.193137, 1.123523, 1.101553, 1.085113, 0.911392, 0.965946, 0.789219, 0.820206, 0.738715, 0.686946, 0.650115, 0.636508, 0.689050, 0.592923, 0.751205, 0.770383, 0.743293, 1.011802, 1.066925, 1.327837, 1.467639, 1.471626, 1.456222, 1.512960, 1.676385, 1.654894, 1.535566, 1.393977, 1.238090, 1.173570, 0.954871, 1.001172, 0.931512, 0.866811, 0.839837
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.078966, 0.302978, 0.363581, 0.803461, 1.242836, 1.907071, 2.209991, 2.849550, 3.557709, 3.516660, 3.988300, 2.915902, 2.944578, 2.507275, 2.426424, 1.573884, 1.591008, 1.370729, 1.225360, 0.765664, 0.625811, 0.379798, 0.313607, 0.286848, 0.366032, 0.339054, 0.263914, 0.192658, 0.265752, 0.365437, 0.519267, 0.462741, 0.563969, 0.811319, 0.818366, 0.641539, 0.715734, 0.686416, 0.548555, 0.488307, 0.558686, 0.591644, 0.578499, 0.587548, 0.606709, 0.739476, 0.876648, 1.027839, 1.192080, 1.569433, 1.481161, 1.690055, 1.917300, 1.835222, 1.833843, 1.967884, 1.597279, 1.648465, 1.353143, 1.422139, 1.095052, 1.082532, 0.862173, 0.897731, 0.788514, 0.901305, 0.899330, 0.802120, 0.734848, 0.925841, 0.722957, 0.729847, 0.773850, 0.871537, 0.845177, 0.801741, 0.870614, 0.914181, 0.927963, 1.052581, 0.953902, 1.128017, 1.179748, 1.125107, 1.144138, 1.106629, 1.045109, 0.975436, 0.897990, 0.817918, 0.815492, 0.748007, 0.696105, 0.650115, 0.649861, 0.671495, 0.588595, 0.759741, 0.787222, 0.710073, 1.019994, 1.058842, 1.367712, 1.483377, 1.440563, 1.456222, 1.509177, 1.650250, 1.680694, 1.484623, 1.444275, 1.227447, 1.177073, 0.937573, 1.011423, 0.931512, 0.866811, 0.859598
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.078966, 0.302978, 0.363581, 0.768528, 1.276427, 1.713131, 2.241118, 2.969531, 3.499860, 3.739940, 3.691872, 3.098146, 2.869076, 2.653330, 2.355751, 1.619504, 1.613106, 1.263641, 1.163054, 0.846260, 0.645368, 0.360808, 0.313607, 0.286848, 0.348602, 0.322101, 0.263914, 0.240823, 0.250120, 0.319757, 0.578611, 0.419359, 0.578068, 0.811319, 0.845198, 0.654632, 0.690172, 0.686416, 0.560745, 0.476397, 0.581964, 0.591644, 0.589624, 0.554906, 0.585421, 0.791552, 0.815487, 1.027839, 1.231165, 1.598142, 1.378043, 1.781906, 1.917300, 1.817576, 1.816543, 1.967884, 1.580640, 1.721912, 1.353143, 1.398567, 1.064205, 1.097672, 0.869606, 0.890432, 0.817187, 0.880181, 0.878576, 0.842905, 0.714807, 0.860179, 0.819781, 0.679075, 0.792573, 0.859262, 0.851214, 0.831435, 0.806340, 0.942929, 0.910988, 1.108273, 0.926491, 1.090236, 1.201005, 1.151272, 1.175060, 1.030485, 1.080112, 0.985289, 0.893136, 0.827484, 0.824920, 0.715485, 0.668628, 0.645600, 0.676568, 0.667106, 0.627546, 0.708523, 0.791432, 0.747445, 1.011802, 1.054800, 1.343787, 1.491247, 1.479392, 1.421733, 1.520524, 1.653983, 1.643837, 1.528289, 1.408348, 1.270018, 1.149048, 0.947952, 0.990921, 0.907887, 0.906817, 0.853011
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.416594, 0.327223, 0.838394, 1.175656, 1.551515, 2.801397, 2.579593, 3.760181, 3.600390, 3.476288, 3.176250, 2.919411, 2.580303, 2.497096, 1.665123, 1.568911, 1.220805, 1.163054, 0.826111, 0.606254, 0.417778, 0.332055, 0.268920, 0.313742, 0.339054, 0.263914, 0.288988, 0.234487, 0.274077, 0.548939, 0.477202, 0.563969, 0.770066, 0.845198, 0.746280, 0.639048, 0.648975, 0.572935, 0.488307, 0.651800, 0.557511, 0.545124, 0.587548, 0.585421, 0.739476, 0.886842, 1.017860, 1.192080, 1.579003, 1.434289, 1.754351, 1.890295, 1.844045, 1.833843, 1.900026, 1.597279, 1.787197, 1.321116, 1.414281, 1.056494, 1.067391, 0.899336, 0.926925, 0.781345, 0.887222, 0.843987, 0.883691, 0.721487, 0.807649, 0.864966, 0.628303, 0.842498, 0.840849, 0.833103, 0.831435, 0.858928, 0.919930, 0.939279, 1.063719, 0.953902, 1.079442, 1.131921, 1.177438, 1.231752, 0.994951, 1.105115, 0.985289, 0.878574, 0.846617, 0.801351, 0.715485, 0.664048, 0.663659, 0.654312, 0.662717, 0.662169, 0.695718, 0.812481, 0.743293, 0.962645, 1.058842, 1.383662, 1.455834, 1.502689, 1.414069, 1.547001, 1.639049, 1.640151, 1.531928, 1.393977, 1.298398, 1.117519, 0.972170, 1.014840, 0.887637, 0.913485, 0.793728
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.378722, 0.327223, 0.838394, 1.310017, 1.454545, 2.801397, 2.669578, 3.673407, 3.544570, 3.503236, 3.124180, 2.994913, 2.677672, 2.332194, 1.801983, 1.458424, 1.242223, 1.100747, 0.947005, 0.586698, 0.455758, 0.258265, 0.304776, 0.278882, 0.356006, 0.280409, 0.256878, 0.265752, 0.289304, 0.504430, 0.520584, 0.620366, 0.701310, 0.804951, 0.837929, 0.575143, 0.661455, 0.597315, 0.464487, 0.628522, 0.568889, 0.522874, 0.631070, 0.564133, 0.739476, 0.846068, 1.017860, 1.221394, 1.588572, 1.443664, 1.690055, 1.890295, 1.835222, 2.006847, 1.798239, 1.547364, 1.795358, 1.385170, 1.374996, 1.095052, 0.961409, 0.995959, 0.912328, 0.781345, 0.873139, 0.871658, 0.842905, 0.701446, 0.827348, 0.910151, 0.602917, 0.836258, 0.816299, 0.857251, 0.825497, 0.870614, 0.931430, 0.916646, 1.058150, 0.970349, 1.090236, 1.147863, 1.151272, 1.231752, 1.005103, 1.135118, 0.985289, 0.854304, 0.817918, 0.829634, 0.687609, 0.686946, 0.668174, 0.649861, 0.636384, 0.666497, 0.712791, 0.816691, 0.747445, 0.929874, 1.091173, 1.363725, 1.483377, 1.491041, 1.402572, 1.581043, 1.635315, 1.599608, 1.571954, 1.318530, 1.351611, 1.100003, 0.999847, 1.011423, 0.843761, 0.973495, 0.741033
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.302978, 0.399940, 0.838394, 1.175656, 1.583838, 2.614637, 2.909540, 3.557709, 3.544570, 3.611028, 3.046076, 2.969746, 2.726357, 2.379309, 1.824793, 1.436327, 1.263641, 0.996903, 0.967154, 0.586698, 0.512727, 0.239817, 0.250992, 0.313742, 0.339054, 0.280409, 0.272933, 0.250120, 0.258851, 0.563775, 0.520584, 0.606267, 0.701310, 0.778119, 0.798651, 0.613486, 0.648975, 0.597315, 0.559766, 0.581964, 0.546133, 0.511749, 0.609309, 0.596065, 0.729061, 0.876648, 0.967965, 1.299563, 1.464166, 1.481161, 1.745166, 1.863291, 1.905808, 1.989547, 1.738863, 1.622236, 1.713751, 1.449224, 1.312139, 1.156745, 0.931129, 1.018256, 0.817446, 0.867365, 0.844973, 0.864741, 0.842905, 0.734848, 0.840480, 0.871421, 0.634649, 0.842498, 0.797886, 0.851214, 0.807680, 0.893986, 0.931430, 0.950596, 1.035873, 0.964867, 1.079442, 1.084093, 1.250700, 1.216291, 0.979722, 1.135118, 0.980362, 0.859158, 0.808351, 0.815492, 0.710839, 0.682367, 0.686232, 0.636508, 0.631995, 0.679481, 0.725596, 0.766174, 0.784817, 0.905296, 1.172000, 1.315875, 1.487312, 1.463860, 1.383411, 1.596172, 1.687586, 1.584865, 1.506456, 1.354457, 1.351611, 1.089493, 1.013686, 1.031924, 0.850511, 0.946824, 0.737739
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.302978, 0.399940, 0.768528, 1.209246, 1.713131, 2.459004, 3.059517, 3.470936, 3.377110, 3.745768, 3.202285, 2.843909, 2.653330, 2.426424, 1.756363, 1.502619, 1.306476, 1.038441, 0.947005, 0.528028, 0.550707, 0.221370, 0.304776, 0.278882, 0.339054, 0.247419, 0.288988, 0.265752, 0.258851, 0.519267, 0.621809, 0.563969, 0.660056, 0.778119, 0.798651, 0.639048, 0.648975, 0.597315, 0.571676, 0.512129, 0.637156, 0.489499, 0.544026, 0.681217, 0.697815, 0.835874, 0.967965, 1.338648, 1.425887, 1.518659, 1.671685, 1.926301, 1.994040, 1.807892, 1.823686, 1.647193, 1.672947, 1.513278, 1.257139, 1.203015, 0.915988, 1.010824, 0.788251, 0.874533, 0.866098, 0.843987, 0.822513, 0.794972, 0.814215, 0.871421, 0.621956, 0.861221, 0.767198, 0.863288, 0.819558, 0.870614, 0.942929, 0.973229, 0.963473, 1.014207, 1.106428, 1.052208, 1.250700, 1.226598, 1.030485, 1.085113, 1.009921, 0.820326, 0.841833, 0.810778, 0.696901, 0.691526, 0.677203, 0.654312, 0.592495, 0.662169, 0.725596, 0.787222, 0.801427, 0.933971, 1.143711, 1.315875, 1.463704, 1.428914, 1.471551, 1.584825, 1.605446, 1.677008, 1.477346, 1.347272, 1.383539, 1.103506, 0.965250, 1.038758, 0.837011, 0.980163, 0.731152
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.265105, 0.363581, 0.698662, 1.142066, 1.551515, 2.739144, 3.179498, 3.528785, 3.209650, 3.772716, 3.046076, 3.120750, 2.580303, 2.379309, 1.779173, 1.591008, 1.370729, 0.851522, 0.947005, 0.567141, 0.512727, 0.258265, 0.322703, 0.278882, 0.271243, 0.296903, 0.256878, 0.281384, 0.304530, 0.430249, 0.665191, 0.549870, 0.687559, 0.737871, 0.824836, 0.702953, 0.624015, 0.572935, 0.571676, 0.512129, 0.591644, 0.500624, 0.554906, 0.713149, 0.687400, 0.795100, 1.057776, 1.289792, 1.349329, 1.612404, 1.754351, 1.854290, 1.994040, 1.781942, 1.815203, 1.580640, 1.746394, 1.529291, 1.202139, 1.256996, 0.923559, 1.040554, 0.744460, 0.924711, 0.830891, 0.795561, 0.802120, 0.821694, 0.873311, 0.826236, 0.660035, 0.836258, 0.816299, 0.808955, 0.831435, 0.888143, 0.914181, 0.967571, 0.974612, 0.986796, 1.117222, 1.052208, 1.282099, 1.159599, 1.081247, 1.070111, 1.014847, 0.805764, 0.875315, 0.791923, 0.706193, 0.709844, 0.654629, 0.645410, 0.610051, 0.636202, 0.742669, 0.795642, 0.780665, 0.913489, 1.159876, 1.291950, 1.499116, 1.425031, 1.563523, 1.554566, 1.560643, 1.673322, 1.484623, 1.383199, 1.298398, 1.128028, 0.989468, 1.045592, 0.843761, 0.956826, 0.717978
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.227233, 0.399940, 0.733595, 1.108476, 1.583838, 2.770270, 3.269484, 3.297389, 3.544570, 3.664924, 3.046076, 2.743240, 2.896755, 2.402866, 1.847603, 1.414230, 1.413564, 0.872290, 0.886558, 0.645368, 0.436768, 0.258265, 0.322703, 0.278882, 0.305148, 0.263914, 0.272933, 0.297017, 0.274077, 0.415413, 0.694112, 0.606267, 0.632554, 0.764703, 0.798651, 0.690172, 0.636495, 0.548555, 0.643136, 0.430654, 0.614400, 0.511749, 0.522265, 0.723793, 0.687400, 0.835874, 0.997902, 1.280021, 1.406748, 1.640527, 1.726796, 1.890295, 1.967570, 1.669489, 1.815203, 1.680470, 1.795358, 1.433210, 1.241425, 1.249285, 1.029541, 0.966229, 0.759057, 0.853028, 0.915388, 0.754054, 0.808917, 0.828374, 0.866745, 0.819781, 0.666382, 0.842498, 0.779473, 0.772733, 0.861130, 0.899829, 0.925680, 1.001521, 0.946766, 0.997760, 1.084839, 1.110664, 1.208836, 1.149291, 1.152315, 1.035108, 1.024700, 0.786348, 0.884882, 0.763640, 0.766591, 0.668628, 0.654629, 0.632057, 0.618828, 0.653513, 0.721328, 0.850369, 0.764055, 0.884814, 1.167959, 1.279987, 1.475508, 1.475509, 1.555859, 1.535654, 1.571844, 1.724923, 1.440958, 1.401163, 1.277113, 1.159557, 0.975629, 1.025090, 0.833636, 0.940156, 0.734446
