its, t_max, delta_t, its_eq, -, -, -, -, -, -, -, -
20000, 20, 0.001000, 20000, 0, 0, 0, 0, 0, 0, 0, 0
x_1, y_1, z_1, x_2, y_2, z_2, x_3, y_3, z_3, x_4, y_4, z_4
0.065192, 0.064972, 0.065098, 2.086542, 0.086461, 14.086511, 2.259430, 4.258816, 10.258992, 2.255782, 8.256417, 2.255823
0.064115, 0.058912, 0.061891, 2.088166, 0.086216, 14.087508, 2.255680, 4.241163, 10.245371, 2.243472, 8.258549, 2.244432
0.062949, 0.052351, 0.058422, 2.089928, 0.085953, 14.088604, 2.251589, 4.222146, 10.230710, 2.230204, 8.260821, 2.232161
0.061702, 0.045330, 0.054716, 2.091810, 0.085677, 14.089754, 2.247145, 4.201968, 10.215148, 2.216115, 8.263150, 2.219138
0.060381, 0.037889, 0.050795, 2.093802, 0.085392, 14.090950, 2.242348, 4.180832, 10.198843, 2.201343, 8.265477, 2.205493
0.058993, 0.030068, 0.046683, 2.095894, 0.085102, 14.092182, 2.237203, 4.158932, 10.181938, 2.186020, 8.267749, 2.191342
0.057546, 0.021908, 0.042402, 2.098074, 0.084813, 14.093442, 2.231719, 4.136440, 10.164560, 2.170265, 8.269914, 2.176791
0.056046, 0.013447, 0.037972, 2.100333, 0.084527, 14.094720, 2.225914, 4.113511, 10.146818, 2.154184, 8.271925, 2.161933
0.054500, 0.004722, 0.033414, 2.102660, 0.084251, 14.096008, 2.219806, 4.090281, 10.128804, 2.137874, 8.273739, 2.146845
0.052913, -0.004229, 0.028744, 2.105044, 0.083988, 14.097299, 2.213418, 4.066874, 10.110598, 2.121417, 8.275317, 2.131595
0.051289, -0.013372, 0.023979, 2.107475, 0.083742, 14.098583, 2.206774, 4.043400, 10.092268, 2.104889, 8.276622, 2.116238
0.049632, -0.022673, 0.019133, 2.109943, 0.083518, 14.099852, 2.199900, 4.019956, 10.073874, 2.088354, 8.277618, 2.100822
0.047946, -0.032100, 0.014218, 2.112439, 0.083320, 14.101097, 2.192821, 3.996631, 10.055467, 2.071868, 8.278276, 2.085383
0.046231, -0.041622, 0.009246, 2.114953, 0.083153, 14.102310, 2.185563, 3.973506, 10.037092, 2.055479, 8.278564, 2.069952
0.044490, -0.051213, 0.004223, 2.117476, 0.083018, 14.103484, 2.178151, 3.950653, 10.018791, 2.039230, 8.278457, 2.054553
0.042720, -0.060846, -0.000844, 2.119998, 0.082921, 14.104610, 2.170609, 3.928139, 10.000601, 2.023157, 8.277929, 2.039206
0.040922, -0.070498, -0.005951, 2.122511, 0.082865, 14.105683, 2.162962, 3.906026, 9.982556, 2.007294, 8.276956, 2.023925
0.039093, -0.080146, -0.011098, 2.125008, 0.082853, 14.106696, 2.155232, 3.884375, 9.964692, 1.991668, 8.275520, 2.008721
0.037228, -0.089772, -0.016284, 2.127481, 0.082888, 14.107642, 2.147440, 3.863241, 9.947040, 1.976307, 8.273600, 1.993606
0.035322, -0.099359, -0.021514, 2.129923, 0.082973, 14.108515, 2.139608, 3.842677, 9.929635, 1.961233, 8.271180, 1.978587
0.033371, -0.108890, -0.026791, 2.132327, 0.083111, 14.109311, 2.131754, 3.822737, 9.912510, 1.946469, 8.268247, 1.963670
0.031368, -0.118352, -0.032122, 2.134687, 0.083304, 14.110023, 2.123899, 3.803470, 9.895703, 1.932034, 8.264789, 1.948862
0.029304, -0.127733, -0.037517, 2.136999, 0.083555, 14.110647, 2.116061, 3.784927, 9.879250, 1.917947, 8.260796, 1.934169
0.027172, -0.137021, -0.042984, 2.139255, 0.083866, 14.111178, 2.108256, 3.767155, 9.863191, 1.904226, 8.256262, 1.919596
0.024963, -0.146208, -0.048534, 2.141453, 0.084240, 14.111613, 2.100503, 3.750203, 9.847567, 1.890888, 8.251183, 1.905149
0.022667, -0.155285, -0.054180, 2.143587, 0.084678, 14.111947, 2.092818, 3.734117, 9.832420, 1.877952, 8.245557, 1.890834
0.020275, -0.164244, -0.059932, 2.145653, 0.085183, 14.112177, 2.085214, 3.718942, 9.817794, 1.865434, 8.239386, 1.876660
0.017776, -0.173080, -0.065806, 2.147648, 0.085757, 14.112300, 2.077705, 3.704721, 9.803733, 1.853351, 8.232674, 1.862634
0.015161, -0.181788, -0.071813, 2.149567, 0.086402, 14.112312, 2.070305, 3.691494, 9.790278, 1.841722, 8.225428, 1.848767
0.012419, -0.190363, -0.077969, 2.151407, 0.087120, 14.112211, 2.063024, 3.679295, 9.777471, 1.830565, 8.217658, 1.835069
0.009540, -0.198801, -0.084287, 2.153166, 0.087912, 14.111994, 2.055873, 3.668158, 9.765351, 1.819897, 8.209375, 1.821553
0.006515, -0.207101, -0.090781, 2.154840, 0.088782, 14.111660, 2.048859, 3.658107, 9.753952, 1.809737, 8.200595, 1.808234
0.003335, -0.215261, -0.097466, 2.156426, 0.089731, 14.111206, 2.041990, 3.649164, 9.743304, 1.800104, 8.191336, 1.795125
-0.000010, -0.223279, -0.104357, 2.157923, 0.090761, 14.110629, 2.035272, 3.641340, 9.733433, 1.791015, 8.181615, 1.782242
-0.003529, -0.231156, -0.111466, 2.159327, 0.091875, 14.109929, 2.028711, 3.634645, 9.724360, 1.782489, 8.171456, 1.769603
-0.007228, -0.238890, -0.118808, 2.160637, 0.093073, 14.109104, 2.022310, 3.629076, 9.716097, 1.774542, 8.160880, 1.757224
-0.011114, -0.246482, -0.126394, 2.161850, 0.094359, 14.108153, 2.016073, 3.624627, 9.708655, 1.767192, 8.149912, 1.745123
-0.015194, -0.253932, -0.134236, 2.162964, 0.095735, 14.107073, 2.010002, 3.621282, 9.702034, 1.760454, 8.138580, 1.733316
-0.019473, -0.261240, -0.142343, 2.163977, 0.097201, 14.105866, 2.004100, 3.619022, 9.696233, 1.754342, 8.126909, 1.721822
-0.023952, -0.268407, -0.150722, 2.164887, 0.098761, 14.104529, 1.998367, 3.617817, 9.691243, 1.748868, 8.114929, 1.710656
-0.028635, -0.275432, -0.159379, 2.165691, 0.100415, 14.103063, 1.992806, 3.617634, 9.687051, 1.744043, 8.102670, 1.699835
-0.033521, -0.282315, -0.168318, 2.166388, 0.102166, 14.101467, 1.987418, 3.618434, 9.683640, 1.739874, 8.090160, 1.689372
-0.038611, -0.289056, -0.177541, 2.166975, 0.104015, 14.099741, 1.982203, 3.620172, 9.680988, 1.736367, 8.077432, 1.679280
-0.043900, -0.295654, -0.187046, 2.167451, 0.105963, 14.097887, 1.977162, 3.622800, 9.679069, 1.733525, 8.064517, 1.669571
-0.049385, -0.302109, -0.196831, 2.167813, 0.108012, 14.095906, 1.972296, 3.626264, 9.677857, 1.731346, 8.051446, 1.660254
-0.055060, -0.308419, -0.206892, 2.168058, 0.110163, 14.093797, 1.967604, 3.630511, 9.677322, 1.729826, 8.038252, 1.651336
-0.060919, -0.314585, -0.217222, 2.168186, 0.112416, 14.091564, 1.963087, 3.635483, 9.677433, 1.728957, 8.024965, 1.642822
-0.066953, -0.320606, -0.227813, 2.168195, 0.114772, 14.089208, 1.958745, 3.641123, 9.678160, 1.728727, 8.011617, 1.634715
-0.073153, -0.326481, -0.238655, 2.168081, 0.117233, 14.086732, 1.954575, 3.647374, 9.679472, 1.729122, 7.998236, 1.627014
-0.079509, -0.332212, -0.249737, 2.167844, 0.119799, 14.084137, 1.950576, 3.654179, 9.681339, 1.730123, 7.984853, 1.619719
-0.086009, -0.337797, -0.261046, 2.167482, 0.122470, 14.081428, 1.946746, 3.661483, 9.683732, 1.731709, 7.971494, 1.612825
-0.092641, -0.343237, -0.272569, 2.166993, 0.125247, 14.078607, 1.943082, 3.669231, 9.686624, 1.733854, 7.958186, 1.606329
-0.099394, -0.348533, -0.284292, 2.166374, 0.128131, 14.075677, 1.939581, 3.677375, 9.689991, 1.736531, 7.944953, 1.600222
-0.106254, -0.353684, -0.296198, 2.165626, 0.131120, 14.072642, 1.936238, 3.685864, 9.693807, 1.739710, 7.931821, 1.594499
-0.113208, -0.358693, -0.308273, 2.164745, 0.134217, 14.069506, 1.933049, 3.694652, 9.698051, 1.743361, 7.918811, 1.589151
-0.120244, -0.363559, -0.320501, 2.163730, 0.137420, 14.066273, 1.930009, 3.703698, 9.702702, 1.747450, 7.905944, 1.584169
-0.127348, -0.368285, -0.332865, 2.162579, 0.140731, 14.062948, 1.927110, 3.712960, 9.707742, 1.751942, 7.893241, 1.579546
-0.134506, -0.372872, -0.345350, 2.161292, 0.144148, 14.059535, 1.924348, 3.722402, 9.713153, 1.756801, 7.880718, 1.575273
-0.141707, -0.377322, -0.357940, 2.159865, 0.147672, 14.056038, 1.921716, 3.731988, 9.718919, 1.761991, 7.868395, 1.571342
-0.148937, -0.381636, -0.370619, 2.158299, 0.151303, 14.052462, 1.919205, 3.741689, 9.725026, 1.767474, 7.856286, 1.567746
-0.156184, -0.385818, -0.383372, 2.156590, 0.155041, 14.048812, 1.916808, 3.751476, 9.731459, 1.773213, 7.844406, 1.564476
-0.163437, -0.389869, -0.396185, 2.154738, 0.158885, 14.045094, 1.914518, 3.761323, 9.738207, 1.779170, 7.832768, 1.561526
-0.170683, -0.393793, -0.409043, 2.152741, 0.162835, 14.041311, 1.912325, 3.771208, 9.745257, 1.785306, 7.821386, 1.558891
-0.177913, -0.397593, -0.421935, 2.150598, 0.166890, 14.037471, 1.910223, 3.781112, 9.752599, 1.791582, 7.810270, 1.556563
-0.185116, -0.401270, -0.434846, 2.148307, 0.171050, 14.033577, 1.908202, 3.791016, 9.760221, 1.797961, 7.799430, 1.554538
-0.192283, -0.404829, -0.447766, 2.145866, 0.175316, 14.029636, 1.906253, 3.800907, 9.768115, 1.804403, 7.788877, 1.552811
-0.199404, -0.408272, -0.460683, 2.143275, 0.179687, 14.025652, 1.904369, 3.810769, 9.776269, 1.810871, 7.778620, 1.551376
-0.206471, -0.411603, -0.473587, 2.140532, 0.184162, 14.021632, 1.902541, 3.820594, 9.784674, 1.817326, 7.768666, 1.550228
-0.213476, -0.414825, -0.486468, 2.137636, 0.188741, 14.017581, 1.900761, 3.830371, 9.793321, 1.823731, 7.759023, 1.549364
-0.220413, -0.417940, -0.499319, 2.134585, 0.193423, 14.013504, 1.899022, 3.840093, 9.802200, 1.830049, 7.749700, 1.548779
-0.227274, -0.420951, -0.512130, 2.131379, 0.198208, 14.009407, 1.897315, 3.849754, 9.811302, 1.836243, 7.740703, 1.548467
-0.234053, -0.423863, -0.524894, 2.128017, 0.203095, 14.005296, 1.895633, 3.859350, 9.820616, 1.842276, 7.732039, 1.548423
-0.240746, -0.426677, -0.537606, 2.124498, 0.208083, 14.001175, 1.893968, 3.868878, 9.830135, 1.848115, 7.723716, 1.548643
-0.247347, -0.429397, -0.550259, 2.120822, 0.213171, 13.997052, 1.892313, 3.878335, 9.839848, 1.853725, 7.715740, 1.549120
-0.253852, -0.432025, -0.562849, 2.116988, 0.218357, 13.992930, 1.890660, 3.887720, 9.849746, 1.859073, 7.708117, 1.549848
-0.260257, -0.434565, -0.575370, 2.112996, 0.223640, 13.988815, 1.889002, 3.897033, 9.859818, 1.864128, 7.700854, 1.550820
-0.266558, -0.437019, -0.587821, 2.108846, 0.229019, 13.984713, 1.887332, 3.906274, 9.870056, 1.868858, 7.693958, 1.552029
-0.272752, -0.439390, -0.600196, 2.104538, 0.234492, 13.980628, 1.885643, 3.915442, 9.880449, 1.873236, 7.687434, 1.553466
-0.278837, -0.441680, -0.612494, 2.100072, 0.240057, 13.976566, 1.883929, 3.924539, 9.890987, 1.877234, 7.681289, 1.555123
-0.284810, -0.443891, -0.624712, 2.095449, 0.245712, 13.972531, 1.882182, 3.933564, 9.901661, 1.880827, 7.675529, 1.556990
-0.290669, -0.446025, -0.636848, 2.090670, 0.251456, 13.968528, 1.880398, 3.942520, 9.912461, 1.883991, 7.670159, 1.559057
-0.296413, -0.448083, -0.648900, 2.085735, 0.257285, 13.964562, 1.878569, 3.951407, 9.923376, 1.886703, 7.665184, 1.561314
-0.302039, -0.450069, -0.660869, 2.080647, 0.263198, 13.960637, 1.876689, 3.960226, 9.934396, 1.888945, 7.660608, 1.563749
-0.307547, -0.451982, -0.672752, 2.075405, 0.269193, 13.956757, 1.874755, 3.968980, 9.945511, 1.890698, 7.656434, 1.566350
-0.312934, -0.453825, -0.684550, 2.070013, 0.275267, 13.952927, 1.872759, 3.977668, 9.956712, 1.891948, 7.652666, 1.569105
-0.318200, -0.455599, -0.696262, 2.064473, 0.281417, 13.949150, 1.870697, 3.986292, 9.967988, 1.892682, 7.649305, 1.572001
-0.323343, -0.457306, -0.707890, 2.058787, 0.287640, 13.945430, 1.868565, 3.994853, 9.979328, 1.892888, 7.646351, 1.575026
-0.328364, -0.458946, -0.719434, 2.052957, 0.293935, 13.941770, 1.866358, 4.003353, 9.990724, 1.892559, 7.643803, 1.578167
-0.333261, -0.460522, -0.730895, 2.046987, 0.300297, 13.938175, 1.864071, 4.011791, 10.002163, 1.891690, 7.641660, 1.581411
-0.338034, -0.462033, -0.742273, 2.040879, 0.306724, 13.934646, 1.861700, 4.020169, 10.013637, 1.890278, 7.639917, 1.584745
-0.342683, -0.463482, -0.753570, 2.034637, 0.313212, 13.931187, 1.859243, 4.028488, 10.025135, 1.888322, 7.638569, 1.588156
-0.347207, -0.464869, -0.764788, 2.028264, 0.319759, 13.927801, 1.856696, 4.036746, 10.036645, 1.885824, 7.637609, 1.591631
-0.351606, -0.466195, -0.775926, 2.021763, 0.326361, 13.924489, 1.854056, 4.044945, 10.048156, 1.882788, 7.637029, 1.595159
-0.355880, -0.467461, -0.786989, 2.015139, 0.333014, 13.921254, 1.851320, 4.053083, 10.059657, 1.879222, 7.636818, 1.598727
-0.360029, -0.468669, -0.797976, 2.008394, 0.339716, 13.918098, 1.848486, 4.061158, 10.071136, 1.875133, 7.636965, 1.602324
-0.364052, -0.469819, -0.808889, 2.001532, 0.346463, 13.915023, 1.845552, 4.069171, 10.082581, 1.870532, 7.637457, 1.605939
-0.367950, -0.470911, -0.819731, 1.994558, 0.353252, 13.912030, 1.842517, 4.077118, 10.093981, 1.865431, 7.638279, 1.609560
-0.371722, -0.471947, -0.830503, 1.987475, 0.360078, 13.909120, 1.839379, 4.084998, 10.105323, 1.859846, 7.639415, 1.613179
-0.375368, -0.472927, -0.841207, 1.980288, 0.366938, 13.906294, 1.836138, 4.092810, 10.116594, 1.853790, 7.640848, 1.616785
-0.378888, -0.473852, -0.851845, 1.972999, 0.373830, 13.903553, 1.832792, 4.100550, 10.127781, 1.847282, 7.642560, 1.620369
-0.382282, -0.474723, -0.862418, 1.965614, 0.380749, 13.900897, 1.829342, 4.108215, 10.138871, 1.840338, 7.644532, 1.623922
-0.385549, -0.475539, -0.872928, 1.958137, 0.387692, 13.898327, 1.825787, 4.115802, 10.149850, 1.832977, 7.646745, 1.627437
-0.388688, -0.476302, -0.883376, 1.950572, 0.394656, 13.895842, 1.822128, 4.123308, 10.160704, 1.825218, 7.649178, 1.630905
-0.391700, -0.477013, -0.893766, 1.942921, 0.401638, 13.893441, 1.818367, 4.130728, 10.171418, 1.817082, 7.651810, 1.634320
-0.394584, -0.477670, -0.904096, 1.935191, 0.408635, 13.891125, 1.814504, 4.138058, 10.181978, 1.808588, 7.654621, 1.637674
-0.397338, -0.478276, -0.914370, 1.927384, 0.415644, 13.888892, 1.810541, 4.145292, 10.192368, 1.799757, 7.657590, 1.640962
-0.399962, -0.478831, -0.924588, 1.919504, 0.422662, 13.886740, 1.806480, 4.152426, 10.202571, 1.790608, 7.660695, 1.644177
-0.402456, -0.479335, -0.934752, 1.911556, 0.429687, 13.884670, 1.802325, 4.159453, 10.212572, 1.781162, 7.663916, 1.647314
-0.404817, -0.479788, -0.944862, 1.903541, 0.436717, 13.882678, 1.798079, 4.166369, 10.222355, 1.771440, 7.667233, 1.650369
-0.407044, -0.480191, -0.954919, 1.895465, 0.443747, 13.880762, 1.793744, 4.173167, 10.231902, 1.761459, 7.670624, 1.653336
-0.409136, -0.480545, -0.964924, 1.887330, 0.450777, 13.878922, 1.789326, 4.179843, 10.241198, 1.751240, 7.674072, 1.656211
-0.411092, -0.480849, -0.974877, 1.879139, 0.457803, 13.877154, 1.784828, 4.186389, 10.250225, 1.740800, 7.677555, 1.658991
-0.412910, -0.481105, -0.984780, 1.870896, 0.464824, 13.875456, 1.780257, 4.192800, 10.258967, 1.730159, 7.681057, 1.661673
-0.414587, -0.481312, -0.994631, 1.862602, 0.471837, 13.873826, 1.775618, 4.199071, 10.267407, 1.719333, 7.684560, 1.664252
-0.416122, -0.481472, -1.004431, 1.854261, 0.478839, 13.872260, 1.770916, 4.205197, 10.275529, 1.708340, 7.688046, 1.666727
-0.417513, -0.481583, -1.014180, 1.845875, 0.485830, 13.870755, 1.766160, 4.211172, 10.283315, 1.697195, 7.691500, 1.669096
-0.418757, -0.481647, -1.023877, 1.837447, 0.492806, 13.869308, 1.761355, 4.216991, 10.290750, 1.685915, 7.694905, 1.671356
-0.419852, -0.481664, -1.033523, 1.828977, 0.499766, 13.867915, 1.756510, 4.222650, 10.297819, 1.674513, 7.698248, 1.673505
-0.420795, -0.481633, -1.043116, 1.820470, 0.506707, 13.866574, 1.751632, 4.228146, 10.304505, 1.663005, 7.701515, 1.675544
-0.421583, -0.481555, -1.052657, 1.811925, 0.513628, 13.865280, 1.746731, 4.233474, 10.310796, 1.651404, 7.704693, 1.677470
-0.422214, -0.481430, -1.062143, 1.803346, 0.520527, 13.864030, 1.741813, 4.238633, 10.316679, 1.639723, 7.707770, 1.679283
-0.422686, -0.481258, -1.071576, 1.794735, 0.527400, 13.862818, 1.736890, 4.243621, 10.322140, 1.627975, 7.710737, 1.680983
-0.422995, -0.481038, -1.080953, 1.786092, 0.534247, 13.861640, 1.731968, 4.248435, 10.327170, 1.616172, 7.713583, 1.682570
-0.423138, -0.480770, -1.090273, 1.777419, 0.541064, 13.860493, 1.727059, 4.253076, 10.331758, 1.604325, 7.716300, 1.684044
-0.423114, -0.480454, -1.099537, 1.768719, 0.547849, 13.859372, 1.722172, 4.257544, 10.335895, 1.592445, 7.718879, 1.685406
-0.422920, -0.480090, -1.108743, 1.759992, 0.554600, 13.858271, 1.717316, 4.261839, 10.339576, 1.580544, 7.721314, 1.686655
-0.422553, -0.479678, -1.117891, 1.751241, 0.561312, 13.857188, 1.712502, 4.265964, 10.342794, 1.568632, 7.723599, 1.687794
-0.422010, -0.479215, -1.126979, 1.742465, 0.567985, 13.856116, 1.707739, 4.269921, 10.345545, 1.556719, 7.725728, 1.688823
-0.421290, -0.478703, -1.136007, 1.733668, 0.574613, 13.855052, 1.703038, 4.273714, 10.347827, 1.544816, 7.727697, 1.689742
-0.420390, -0.478140, -1.144974, 1.724849, 0.581194, 13.853990, 1.698408, 4.277347, 10.349639, 1.532931, 7.729501, 1.690553
-0.419307, -0.477526, -1.153879, 1.716012, 0.587724, 13.852926, 1.693859, 4.280823, 10.350982, 1.521074, 7.731137, 1.691256
-0.418041, -0.476859, -1.162721, 1.707156, 0.594198, 13.851855, 1.689402, 4.284150, 10.351859, 1.509256, 7.732603, 1.691853
-0.416587, -0.476140, -1.171501, 1.698285, 0.600611, 13.850773, 1.685045, 4.287332, 10.352275, 1.497485, 7.733897, 1.692344
-0.414946, -0.475367, -1.180218, 1.689400, 0.606959, 13.849674, 1.680798, 4.290376, 10.352234, 1.485770, 7.735016, 1.692731
-0.413114, -0.474539, -1.188870, 1.680502, 0.613236, 13.848554, 1.676670, 4.293289, 10.351746, 1.474122, 7.735961, 1.693013
-0.411089, -0.473655, -1.197457, 1.671594, 0.619436, 13.847409, 1.672670, 4.296078, 10.350819, 1.462548, 7.736730, 1.693191
-0.408871, -0.472715, -1.205979, 1.662679, 0.625552, 13.846233, 1.668807, 4.298751, 10.349464, 1.451059, 7.737324, 1.693265
-0.406457, -0.471716, -1.214435, 1.653758, 0.631578, 13.845023, 1.665089, 4.301314, 10.347693, 1.439664, 7.737743, 1.693235
-0.403846, -0.470659, -1.222825, 1.644834, 0.637506, 13.843773, 1.661523, 4.303776, 10.345521, 1.428371, 7.737988, 1.693102
-0.401037, -0.469543, -1.231147, 1.635910, 0.643327, 13.842480, 1.658119, 4.306144, 10.342962, 1.417190, 7.738060, 1.692864
-0.398028, -0.468365, -1.239401, 1.626990, 0.649033, 13.841138, 1.654882, 4.308425, 10.340032, 1.406130, 7.737962, 1.692521
-0.394819, -0.467126, -1.247586, 1.618076, 0.654616, 13.839744, 1.651819, 4.310625, 10.336750, 1.395199, 7.737694, 1.692072
-0.391407, -0.465824, -1.255701, 1.609172, 0.660065, 13.838294, 1.648939, 4.312752, 10.333133, 1.384406, 7.737259, 1.691515
-0.387794, -0.464459, -1.263745, 1.600281, 0.665369, 13.836783, 1.646245, 4.314811, 10.329201, 1.373761, 7.736660, 1.690850
-0.383978, -0.463029, -1.271717, 1.591407, 0.670520, 13.835207, 1.643746, 4.316809, 10.324974, 1.363271, 7.735899, 1.690074
-0.379958, -0.461533, -1.279615, 1.582555, 0.675504, 13.833562, 1.641445, 4.318749, 10.320473, 1.352945, 7.734979, 1.689185
-0.375735, -0.459971, -1.287439, 1.573727, 0.680310, 13.831845, 1.639350, 4.320638, 10.315719, 1.342792, 7.733904, 1.688182
-0.371310, -0.458342, -1.295186, 1.564928, 0.684928, 13.830052, 1.637464, 4.322478, 10.310734, 1.332818, 7.732676, 1.687062
-0.366682, -0.456645, -1.302855, 1.556162, 0.689343, 13.828180, 1.635793, 4.324273, 10.305541, 1.323032, 7.731298, 1.685823
-0.361853, -0.454880, -1.310445, 1.547433, 0.693545, 13.826225, 1.634341, 4.326027, 10.300162, 1.313441, 7.729775, 1.684461
-0.356823, -0.453046, -1.317953, 1.538746, 0.697519, 13.824184, 1.633112, 4.327740, 10.294621, 1.304053, 7.728109, 1.682974
-0.351595, -0.451142, -1.325378, 1.530103, 0.701255, 13.822054, 1.632111, 4.329415, 10.288939, 1.294873, 7.726304, 1.681360
-0.346170, -0.449169, -1.332717, 1.521510, 0.704738, 13.819833, 1.631342, 4.331053, 10.283141, 1.285909, 7.724364, 1.679615
-0.340551, -0.447126, -1.339969, 1.512969, 0.707956, 13.817518, 1.630808, 4.332654, 10.277249, 1.277166, 7.722292, 1.677737
-0.334741, -0.445012, -1.347130, 1.504484, 0.710897, 13.815108, 1.630514, 4.334217, 10.271287, 1.268649, 7.720091, 1.675723
-0.328743, -0.442829, -1.354199, 1.496059, 0.713550, 13.812599, 1.630462, 4.335743, 10.265275, 1.260364, 7.717765, 1.673571
-0.322563, -0.440575, -1.361173, 1.487696, 0.715902, 13.809991, 1.630657, 4.337231, 10.259237, 1.252315, 7.715318, 1.671277
-0.316205, -0.438252, -1.368049, 1.479399, 0.717942, 13.807282, 1.631101, 4.338678, 10.253195, 1.244507, 7.712752, 1.668841
-0.309676, -0.435860, -1.374823, 1.471169, 0.719662, 13.804472, 1.631798, 4.340083, 10.247169, 1.236942, 7.710071, 1.666259
-0.302983, -0.433400, -1.381494, 1.463009, 0.721050, 13.801560, 1.632751, 4.341444, 10.241180, 1.229623, 7.707277, 1.663530
-0.296135, -0.430872, -1.388056, 1.454920, 0.722100, 13.798545, 1.633963, 4.342759, 10.235249, 1.222553, 7.704374, 1.660654
-0.289141, -0.428278, -1.394506, 1.446903, 0.722802, 13.795428, 1.635437, 4.344025, 10.229396, 1.215733, 7.701363, 1.657629
-0.282015, -0.425620, -1.400841, 1.438960, 0.723151, 13.792209, 1.637176, 4.345240, 10.223640, 1.209165, 7.698248, 1.654455
-0.274769, -0.422897, -1.407054, 1.431091, 0.723143, 13.788889, 1.639182, 4.346400, 10.217999, 1.202849, 7.695030, 1.651132
-0.267418, -0.420114, -1.413142, 1.423296, 0.722772, 13.785469, 1.641458, 4.347503, 10.212492, 1.196785, 7.691712, 1.647662
-0.259980, -0.417271, -1.419097, 1.415575, 0.722037, 13.781952, 1.644007, 4.348547, 10.207135, 1.190972, 7.688295, 1.644045
-0.252475, -0.414371, -1.424915, 1.407926, 0.720937, 13.778339, 1.646829, 4.349527, 10.201944, 1.185408, 7.684782, 1.640284
-0.244924, -0.411418, -1.430587, 1.400350, 0.719471, 13.774633, 1.649927, 4.350442, 10.196935, 1.180093, 7.681172, 1.636382
-0.237351, -0.408412, -1.436107, 1.392844, 0.717643, 13.770836, 1.653302, 4.351288, 10.192123, 1.175023, 7.677468, 1.632341
-0.229782, -0.405359, -1.441466, 1.385408, 0.715456, 13.766952, 1.656954, 4.352062, 10.187521, 1.170196, 7.673670, 1.628165
-0.222244, -0.402261, -1.446656, 1.378040, 0.712914, 13.762985, 1.660885, 4.352762, 10.183142, 1.165608, 7.669780, 1.623859
-0.214768, -0.399121, -1.451668, 1.370737, 0.710024, 13.758938, 1.665093, 4.353385, 10.178998, 1.161256, 7.665798, 1.619429
-0.207385, -0.395943, -1.456491, 1.363498, 0.706794, 13.754817, 1.669579, 4.353929, 10.175100, 1.157136, 7.661723, 1.614881
-0.200127, -0.392731, -1.461115, 1.356321, 0.703234, 13.750625, 1.674342, 4.354391, 10.171458, 1.153243, 7.657558, 1.610219
-0.193029, -0.389489, -1.465530, 1.349204, 0.699353, 13.746369, 1.679380, 4.354768, 10.168082, 1.149572, 7.653302, 1.605453
-0.186125, -0.386219, -1.469724, 1.342145, 0.695164, 13.742055, 1.684691, 4.355060, 10.164978, 1.146119, 7.648954, 1.600589
-0.179450, -0.382927, -1.473687, 1.335143, 0.690681, 13.737687, 1.690272, 4.355264, 10.162156, 1.142878, 7.644516, 1.595635
-0.173041, -0.379615, -1.477407, 1.328195, 0.685917, 13.733274, 1.696120, 4.355378, 10.159621, 1.139844, 7.639987, 1.590601
-0.166933, -0.376288, -1.480874, 1.321302, 0.680889, 13.728822, 1.702231, 4.355402, 10.157379, 1.137011, 7.635367, 1.585494
-0.161162, -0.372950, -1.484075, 1.314462, 0.675614, 13.724339, 1.708600, 4.355335, 10.155434, 1.134374, 7.630657, 1.580325
-0.155760, -0.369604, -1.487002, 1.307674, 0.670109, 13.719833, 1.715222, 4.355175, 10.153791, 1.131927, 7.625856, 1.575102
-0.150762, -0.366254, -1.489644, 1.300941, 0.664393, 13.715313, 1.722091, 4.354923, 10.152452, 1.129665, 7.620965, 1.569836
-0.146197, -0.362904, -1.491993, 1.294261, 0.658487, 13.710788, 1.729198, 4.354580, 10.151419, 1.127582, 7.615984, 1.564537
-0.142094, -0.359557, -1.494041, 1.287636, 0.652410, 13.706268, 1.736537, 4.354144, 10.150694, 1.125674, 7.610914, 1.559215
-0.138478, -0.356218, -1.495782, 1.281069, 0.646183, 13.701764, 1.744099, 4.353619, 10.150277, 1.123934, 7.605755, 1.553880
