T, U, Accepted ratio, Accepted ratio equilibrium
300.000000, -586.950129, 0.005335, 0.003804
310.000000, -587.338961, 0.003640, 0.004040
320.000000, -586.779733, 0.006196, 0.004890
330.000000, -586.538771, 0.008485, 0.005300
340.000000, -586.299133, 0.009556, 0.007244
350.000000, -586.022575, 0.010610, 0.009608
360.000000, -585.625169, 0.012901, 0.009070
370.000000, -585.170855, 0.015106, 0.010094
380.000000, -584.709681, 0.017668, 0.011462
390.000000, -584.419236, 0.019079, 0.015794
400.000000, -584.102077, 0.021185, 0.018980
410.000000, -583.710027, 0.022781, 0.021192
420.000000, -583.082131, 0.025778, 0.025218
430.000000, -582.059409, 0.030752, 0.025004
440.000000, -581.752230, 0.032300, 0.030976
450.000000, -581.233854, 0.034643, 0.032428
460.000000, -580.268176, 0.039405, 0.036770
470.000000, -579.382656, 0.044543, 0.042234
480.000000, -578.434790, 0.048357, 0.046076
490.000000, -577.545369, 0.053049, 0.050998
500.000000, -576.283217, 0.059018, 0.053224
510.000000, -575.028865, 0.064222, 0.060464
520.000000, -574.579242, 0.067194, 0.063606
530.000000, -573.388891, 0.073196, 0.068908
540.000000, -571.860931, 0.080826, 0.073100
550.000000, -570.487197, 0.087567, 0.084312
560.000000, -569.755723, 0.092260, 0.090190
570.000000, -568.295206, 0.098683, 0.097012
580.000000, -565.918380, 0.111165, 0.104302
590.000000, -565.457274, 0.114528, 0.112382
600.000000, -562.697196, 0.129705, 0.113540
610.000000, -561.620224, 0.135256, 0.130905
620.000000, -559.652866, 0.147401, 0.138055
630.000000, -557.614012, 0.160180, 0.143980
640.000000, -555.791210, 0.171408, 0.159095
650.000000, -553.707679, 0.185571, 0.173515
660.000000, -550.909358, 0.205618, 0.183720
670.000000, -548.295743, 0.224818, 0.195320
680.000000, -544.902482, 0.253311, 0.224405
690.000000, -540.924545, 0.287940, 0.251495
700.000000, -540.110791, 0.299116, 0.276000
710.000000, -536.019663, 0.341301, 0.280335
720.000000, -533.744382, 0.370167, 0.307300
730.000000, -530.351672, 0.414111, 0.345670
740.000000, -529.238099, 0.432350, 0.368680
750.000000, -528.114397, 0.450101, 0.418910
760.000000, -527.332431, 0.465001, 0.412575
770.000000, -527.086998, 0.471046, 0.437185
780.000000, -526.453498, 0.482450, 0.452215
790.000000, -526.017702, 0.491561, 0.455325
800.000000, -525.263877, 0.505564, 0.478490
810.000000, -524.781912, 0.515506, 0.485675
820.000000, -524.695059, 0.519638, 0.491545
830.000000, -524.325128, 0.526711, 0.495015
840.000000, -523.933524, 0.537021, 0.507675
850.000000, -523.627490, 0.543881, 0.514970
860.000000, -523.431819, 0.548354, 0.526285
870.000000, -522.926086, 0.557714, 0.530505
880.000000, -522.887464, 0.561620, 0.540035
890.000000, -522.583155, 0.568311, 0.545800
900.000000, -522.419547, 0.573441, 0.550425
910.000000, -522.165437, 0.579016, 0.560930
920.000000, -521.943147, 0.586059, 0.567515
930.000000, -521.783763, 0.590391, 0.569480
940.000000, -521.569108, 0.595577, 0.579005
950.000000, -521.419565, 0.599850, 0.582595
960.000000, -521.318041, 0.603930, 0.584480
970.000000, -520.970927, 0.611794, 0.591805
980.000000, -520.842760, 0.615015, 0.601470
990.000000, -520.772051, 0.618224, 0.602830
1000.000000, -520.594862, 0.622594, 0.607580
