U, C_V, P, R
1.000000, 1.000000, 1.000000, 1.000000
0.999728, 0.999963, 0.999903, 0.999728
0.999457, 0.999927, 0.999807, 0.999457
0.999186, 0.999890, 0.999710, 0.999186
0.998915, 0.999854, 0.999613, 0.998915
0.998645, 0.999817, 0.999517, 0.998645
0.998373, 0.999780, 0.999420, 0.998373
0.998100, 0.999743, 0.999323, 0.998100
0.997828, 0.999707, 0.999226, 0.997828
0.997556, 0.999670, 0.999129, 0.997556
0.997283, 0.999633, 0.999033, 0.997283
0.997011, 0.999596, 0.998937, 0.997011
0.996739, 0.999560, 0.998841, 0.996739
0.996469, 0.999523, 0.998744, 0.996469
0.996197, 0.999486, 0.998649, 0.996197
0.995925, 0.999449, 0.998553, 0.995925
0.995656, 0.999412, 0.998457, 0.995656
0.995387, 0.999376, 0.998362, 0.995387
0.995120, 0.999339, 0.998267, 0.995120
0.994853, 0.999302, 0.998173, 0.994853
0.994588, 0.999266, 0.998080, 0.994588
0.994322, 0.999229, 0.997985, 0.994322
0.994057, 0.999192, 0.997890, 0.994057
0.993795, 0.999156, 0.997796, 0.993795
0.993533, 0.999119, 0.997702, 0.993533
0.993271, 0.999082, 0.997609, 0.993271
0.993010, 0.999045, 0.997516, 0.993010
0.992750, 0.999009, 0.997423, 0.992750
0.992491, 0.998972, 0.997331, 0.992491
0.992231, 0.998935, 0.997238, 0.992231
0.991973, 0.998898, 0.997145, 0.991973
0.991716, 0.998861, 0.997054, 0.991716
0.991458, 0.998824, 0.996961, 0.991458
0.991200, 0.998787, 0.996869, 0.991200
0.990942, 0.998750, 0.996777, 0.990942
0.990685, 0.998713, 0.996686, 0.990685
0.990430, 0.998676, 0.996594, 0.990430
0.990174, 0.998639, 0.996502, 0.990174
0.989918, 0.998602, 0.996410, 0.989918
0.989663, 0.998565, 0.996317, 0.989663
0.989409, 0.998528, 0.996224, 0.989409
0.989157, 0.998491, 0.996132, 0.989157
0.988906, 0.998453, 0.996040, 0.988906
0.988655, 0.998416, 0.995948, 0.988655
0.988407, 0.998379, 0.995857, 0.988407
0.988159, 0.998341, 0.995765, 0.988159
0.987910, 0.998304, 0.995674, 0.987910
0.987662, 0.998266, 0.995582, 0.987662
0.987416, 0.998229, 0.995492, 0.987416
0.987175, 0.998191, 0.995403, 0.987175
0.986934, 0.998154, 0.995313, 0.986934
0.986692, 0.998116, 0.995223, 0.986692
0.986452, 0.998078, 0.995133, 0.986452
0.986215, 0.998041, 0.995043, 0.986215
0.985978, 0.998003, 0.994954, 0.985978
0.985743, 0.997965, 0.994866, 0.985743
0.985507, 0.997928, 0.994778, 0.985507
0.985273, 0.997890, 0.994690, 0.985273
0.985038, 0.997852, 0.994603, 0.985038
0.984803, 0.997814, 0.994515, 0.984803
0.984570, 0.997776, 0.994428, 0.984570
0.984336, 0.997738, 0.994340, 0.984336
0.984104, 0.997700, 0.994253, 0.984104
0.983875, 0.997662, 0.994166, 0.983875
0.983647, 0.997624, 0.994079, 0.983647
0.983421, 0.997586, 0.993992, 0.983421
0.983198, 0.997548, 0.993905, 0.983198
0.982974, 0.997510, 0.993819, 0.982974
0.982749, 0.997472, 0.993732, 0.982749
0.982525, 0.997434, 0.993645, 0.982525
0.982300, 0.997396, 0.993559, 0.982300
0.982075, 0.997358, 0.993472, 0.982075
0.981848, 0.997319, 0.993386, 0.981848
0.981622, 0.997281, 0.993301, 0.981622
0.981396, 0.997243, 0.993216, 0.981396
0.981170, 0.997204, 0.993132, 0.981170
0.980944, 0.997166, 0.993048, 0.980944
0.980716, 0.997128, 0.992963, 0.980716
0.980489, 0.997089, 0.992879, 0.980489
0.980263, 0.997051, 0.992796, 0.980263
0.980037, 0.997012, 0.992712, 0.980037
0.979812, 0.996974, 0.992629, 0.979812
0.979587, 0.996935, 0.992545, 0.979587
0.979364, 0.996897, 0.992461, 0.979364
0.979141, 0.996858, 0.992376, 0.979141
0.978919, 0.996820, 0.992292, 0.978919
0.978697, 0.996781, 0.992207, 0.978697
0.978473, 0.996742, 0.992122, 0.978473
0.978250, 0.996704, 0.992036, 0.978250
0.978028, 0.996665, 0.991951, 0.978028
0.977804, 0.996626, 0.991866, 0.977804
0.977581, 0.996587, 0.991781, 0.977581
0.977360, 0.996549, 0.991695, 0.977360
