N, Var_U, Var_CV, Var_P, Var_R
100000, 1.272827, 0.000008, 0.002379, 0.000209
Lag, U, C_V, P, R
0, 1.000000, 1.000000, 1.000000, 1.000000
51, 0.904739, 0.993755, 0.977979, 0.904739
102, 0.814572, 0.987232, 0.955731, 0.814572
153, 0.735393, 0.980572, 0.935057, 0.735393
204, 0.662512, 0.973604, 0.915944, 0.662512
255, 0.600865, 0.966414, 0.899126, 0.600865
306, 0.550574, 0.959229, 0.883490, 0.550574
357, 0.503714, 0.952146, 0.868365, 0.503714
408, 0.459964, 0.944992, 0.853924, 0.459964
459, 0.418942, 0.937834, 0.839232, 0.418942
510, 0.387064, 0.930835, 0.824675, 0.387064
561, 0.361027, 0.923751, 0.809109, 0.361027
612, 0.338392, 0.916518, 0.791421, 0.338392
663, 0.316334, 0.909218, 0.772598, 0.316334
714, 0.294801, 0.901807, 0.756196, 0.294801
765, 0.271104, 0.894302, 0.740408, 0.271104
816, 0.248530, 0.886692, 0.724741, 0.248530
867, 0.225681, 0.879047, 0.710540, 0.225681
918, 0.207758, 0.871288, 0.697160, 0.207758
969, 0.192139, 0.863404, 0.684531, 0.192139
1020, 0.176396, 0.855417, 0.672252, 0.176396
1071, 0.163176, 0.847400, 0.660112, 0.163176
1122, 0.152906, 0.839248, 0.647666, 0.152906
1173, 0.139397, 0.831130, 0.634224, 0.139397
1224, 0.125053, 0.823237, 0.621540, 0.125053
1275, 0.110093, 0.815431, 0.609702, 0.110093
1326, 0.097384, 0.807481, 0.598281, 0.097384
1377, 0.086040, 0.799428, 0.587412, 0.086040
1428, 0.074918, 0.791389, 0.577670, 0.074918
1479, 0.065521, 0.783607, 0.567143, 0.065521
1530, 0.060619, 0.776376, 0.557173, 0.060619
1581, 0.058638, 0.769567, 0.546528, 0.058638
1632, 0.057744, 0.763003, 0.535723, 0.057744
1683, 0.059606, 0.756430, 0.525854, 0.059606
1734, 0.062306, 0.749767, 0.516385, 0.062306
1785, 0.062944, 0.742968, 0.506696, 0.062944
1836, 0.059484, 0.736076, 0.496678, 0.059484
1887, 0.058791, 0.729126, 0.487359, 0.058791
1938, 0.063645, 0.722189, 0.477931, 0.063645
1989, 0.067276, 0.715271, 0.468314, 0.067276
2040, 0.073741, 0.708262, 0.460050, 0.073741
2091, 0.077822, 0.701179, 0.452622, 0.077822
2142, 0.073771, 0.694159, 0.446077, 0.073771
2193, 0.068689, 0.687173, 0.440471, 0.068689
2244, 0.064581, 0.680158, 0.435277, 0.064581
2295, 0.064250, 0.673214, 0.430102, 0.064250
2346, 0.067332, 0.666319, 0.424403, 0.067332
2397, 0.066861, 0.659384, 0.418898, 0.066861
2448, 0.066108, 0.652423, 0.413343, 0.066108
2499, 0.066435, 0.645390, 0.407646, 0.066435
2550, 0.069403, 0.638285, 0.402483, 0.069403
2601, 0.073255, 0.631112, 0.398446, 0.073255
2652, 0.075819, 0.623866, 0.394676, 0.075819
2703, 0.073590, 0.616519, 0.392327, 0.073590
2754, 0.069834, 0.609076, 0.390217, 0.069834
2805, 0.067072, 0.601700, 0.387705, 0.067072
2856, 0.065964, 0.594438, 0.384845, 0.065964
2907, 0.066186, 0.587373, 0.381748, 0.066186
2958, 0.070024, 0.580774, 0.378177, 0.070024
3009, 0.071181, 0.574697, 0.374260, 0.071181
3060, 0.069371, 0.568919, 0.370069, 0.069371
3111, 0.068681, 0.563311, 0.365081, 0.068681
3162, 0.064775, 0.557875, 0.360681, 0.064775
3213, 0.055700, 0.552802, 0.355379, 0.055700
3264, 0.052658, 0.547944, 0.350524, 0.052658
3315, 0.048341, 0.543175, 0.347421, 0.048341
3366, 0.038054, 0.538369, 0.343859, 0.038054
3417, 0.024797, 0.533469, 0.341373, 0.024797
3468, 0.010638, 0.528477, 0.340094, 0.010638
3519, -0.004083, 0.523401, 0.337807, -0.004083
3570, -0.019630, 0.518245, 0.334027, -0.019630
3621, -0.032694, 0.513049, 0.329028, -0.032694
3672, -0.037767, 0.507861, 0.324245, -0.037767
3723, -0.042436, 0.502632, 0.320494, -0.042436
3774, -0.043111, 0.497314, 0.317960, -0.043111
3825, -0.037628, 0.492040, 0.316895, -0.037628
3876, -0.029609, 0.487006, 0.315723, -0.029609
3927, -0.030351, 0.482131, 0.313675, -0.030351
3978, -0.030913, 0.477344, 0.311293, -0.030913
4029, -0.028557, 0.472766, 0.308041, -0.028557
4080, -0.026275, 0.468570, 0.303893, -0.026275
4131, -0.027240, 0.464804, 0.299380, -0.027240
4182, -0.026061, 0.461293, 0.295053, -0.026061
4233, -0.028965, 0.458087, 0.291441, -0.028965
4284, -0.035666, 0.455182, 0.287101, -0.035666
4335, -0.039999, 0.452720, 0.282486, -0.039999
4386, -0.038965, 0.450646, 0.278012, -0.038965
4437, -0.033217, 0.448883, 0.274716, -0.033217
4488, -0.026554, 0.447218, 0.271085, -0.026554
4539, -0.019297, 0.445582, 0.267350, -0.019297
4590, -0.009984, 0.444065, 0.262970, -0.009984
4641, 0.001306, 0.442668, 0.258133, 0.001306
4692, 0.013855, 0.441329, 0.253115, 0.013855
4743, 0.025249, 0.440281, 0.249221, 0.025249
4794, 0.033612, 0.439522, 0.246341, 0.033612
4845, 0.037526, 0.439043, 0.243800, 0.037526
4896, 0.039353, 0.438876, 0.240742, 0.039353
4947, 0.037308, 0.438990, 0.236977, 0.037308
4998, 0.035804, 0.439357, 0.232232, 0.035804
5049, 0.037480, 0.439961, 0.226857, 0.037480
5100, 0.039368, 0.440532, 0.220994, 0.039368
5151, 0.040362, 0.441039, 0.214065, 0.040362
5202, 0.037428, 0.441610, 0.207007, 0.037428
5253, 0.034704, 0.442235, 0.200728, 0.034704
5304, 0.032901, 0.442973, 0.195049, 0.032901
5355, 0.028921, 0.443910, 0.189558, 0.028921
5406, 0.025100, 0.444959, 0.183247, 0.025100
5457, 0.021657, 0.445976, 0.176563, 0.021657
5508, 0.021035, 0.446961, 0.169400, 0.021035
5559, 0.024935, 0.447881, 0.162397, 0.024935
5610, 0.027449, 0.448684, 0.157402, 0.027449
5661, 0.027522, 0.449373, 0.155650, 0.027522
5712, 0.031335, 0.449941, 0.154767, 0.031335
5763, 0.036767, 0.450438, 0.154541, 0.036767
5814, 0.041117, 0.450981, 0.153361, 0.041117
5865, 0.045883, 0.451598, 0.151834, 0.045883
5916, 0.048511, 0.452307, 0.148613, 0.048511
5967, 0.048717, 0.452995, 0.144668, 0.048717
6018, 0.047662, 0.453593, 0.142767, 0.047662
6069, 0.041900, 0.454114, 0.141347, 0.041900
6120, 0.033546, 0.454605, 0.139531, 0.033546
6171, 0.026019, 0.455041, 0.136411, 0.026019
6222, 0.021122, 0.455435, 0.133083, 0.021122
6273, 0.015100, 0.455728, 0.131407, 0.015100
6324, 0.013164, 0.455881, 0.129499, 0.013164
6375, 0.017205, 0.455897, 0.128646, 0.017205
6426, 0.020573, 0.455783, 0.127380, 0.020573
6477, 0.024996, 0.455558, 0.125062, 0.024996
6528, 0.028909, 0.455217, 0.121991, 0.028909
6579, 0.033603, 0.454762, 0.119417, 0.033603
6630, 0.033298, 0.454199, 0.118144, 0.033298
6681, 0.031303, 0.453518, 0.116929, 0.031303
6732, 0.032025, 0.452729, 0.116175, 0.032025
6783, 0.031665, 0.451828, 0.116206, 0.031665
6834, 0.029907, 0.450801, 0.117584, 0.029907
6885, 0.024404, 0.449661, 0.119657, 0.024404
6936, 0.022586, 0.448419, 0.121606, 0.022586
6987, 0.022871, 0.447090, 0.124007, 0.022871
7038, 0.015583, 0.445695, 0.126812, 0.015583
7089, 0.007956, 0.444222, 0.128401, 0.007956
7140, 0.001802, 0.442661, 0.128945, 0.001802
7191, -0.007590, 0.441011, 0.130314, -0.007590
7242, -0.019927, 0.439266, 0.132508, -0.019927
7293, -0.024295, 0.437419, 0.134998, -0.024295
7344, -0.026666, 0.435475, 0.137730, -0.026666
7395, -0.030047, 0.433431, 0.141857, -0.030047
7446, -0.026788, 0.431303, 0.146975, -0.026788
7497, -0.015574, 0.429096, 0.150997, -0.015574
7548, -0.008980, 0.426770, 0.154800, -0.008980
7599, -0.006112, 0.424306, 0.158402, -0.006112
7650, -0.001147, 0.421719, 0.162190, -0.001147
7701, 0.004271, 0.419022, 0.165902, 0.004271
7752, 0.004113, 0.416211, 0.170173, 0.004113
7803, 0.003265, 0.413276, 0.176085, 0.003265
7854, 0.001648, 0.410208, 0.182663, 0.001648
7905, 0.006390, 0.407007, 0.189463, 0.006390
7956, 0.012435, 0.403724, 0.196430, 0.012435
8007, 0.013803, 0.400512, 0.202952, 0.013803
8058, 0.018307, 0.397300, 0.209127, 0.018307
8109, 0.023420, 0.394010, 0.215061, 0.023420
8160, 0.025984, 0.390677, 0.220293, 0.025984
8211, 0.022995, 0.387422, 0.224176, 0.022995
8262, 0.020301, 0.384241, 0.226417, 0.020301
8313, 0.011198, 0.381100, 0.227385, 0.011198
8364, 0.001171, 0.378104, 0.227314, 0.001171
8415, -0.005320, 0.375237, 0.228318, -0.005320
8466, -0.008327, 0.372409, 0.230080, -0.008327
8517, -0.009746, 0.369618, 0.231455, -0.009746
8568, -0.011376, 0.366864, 0.233138, -0.011376
8619, -0.012731, 0.364088, 0.234619, -0.012731
8670, -0.012065, 0.361278, 0.235777, -0.012065
8721, -0.011821, 0.358408, 0.236555, -0.011821
8772, -0.012382, 0.355477, 0.237134, -0.012382
8823, -0.012930, 0.352461, 0.237104, -0.012930
8874, -0.012167, 0.349348, 0.235662, -0.012167
8925, -0.008341, 0.346133, 0.233096, -0.008341
8976, -0.000464, 0.342822, 0.231127, -0.000464
9027, 0.007108, 0.339399, 0.229211, 0.007108
9078, 0.013250, 0.335863, 0.226811, 0.013250
9129, 0.021958, 0.332206, 0.224808, 0.021958
9180, 0.026260, 0.328434, 0.222946, 0.026260
9231, 0.026425, 0.324551, 0.220626, 0.026425
9282, 0.020938, 0.320561, 0.218988, 0.020938
9333, 0.015747, 0.316462, 0.218105, 0.015747
9384, 0.012021, 0.312253, 0.216205, 0.012021
9435, 0.007151, 0.307944, 0.212474, 0.007151
9486, 0.003895, 0.303573, 0.206648, 0.003895
9537, 0.003909, 0.299145, 0.201145, 0.003909
9588, 0.003410, 0.294665, 0.195767, 0.003410
9639, 0.001833, 0.290113, 0.190057, 0.001833
9690, -0.002419, 0.285496, 0.184958, -0.002419
9741, -0.007076, 0.280826, 0.179520, -0.007076
9792, -0.013423, 0.276120, 0.174325, -0.013423
9843, -0.015599, 0.271387, 0.167867, -0.015599
9894, -0.013767, 0.266616, 0.161604, -0.013767
9945, -0.010016, 0.261810, 0.154620, -0.010016
9996, -0.008052, 0.256959, 0.148054, -0.008052
10047, -0.009006, 0.252081, 0.141580, -0.009006
10098, -0.013238, 0.247216, 0.136537, -0.013238
10149, -0.025616, 0.242359, 0.131339, -0.025616
10200, -0.044061, 0.237555, 0.126098, -0.044061
10251, -0.061736, 0.232882, 0.120924, -0.061736
10302, -0.079496, 0.228395, 0.116889, -0.079496
10353, -0.099205, 0.224086, 0.112941, -0.099205
10404, -0.120697, 0.219991, 0.108572, -0.120697
10455, -0.140279, 0.216090, 0.102866, -0.140279
10506, -0.157202, 0.212405, 0.096761, -0.157202
10557, -0.171549, 0.208970, 0.092567, -0.171549
10608, -0.172838, 0.205756, 0.088331, -0.172838
10659, -0.169285, 0.202728, 0.083453, -0.169285
10710, -0.163690, 0.199944, 0.079633, -0.163690
10761, -0.161790, 0.197470, 0.076816, -0.161790
10812, -0.158492, 0.195335, 0.073638, -0.158492
10863, -0.156100, 0.193581, 0.072282, -0.156100
10914, -0.155014, 0.192327, 0.070136, -0.155014
10965, -0.150387, 0.191396, 0.068230, -0.150387
11016, -0.142571, 0.190634, 0.067830, -0.142571
11067, -0.134700, 0.190110, 0.068122, -0.134700
11118, -0.129717, 0.189761, 0.068246, -0.129717
11169, -0.122805, 0.189443, 0.068003, -0.122805
11220, -0.122351, 0.189097, 0.066670, -0.122351
11271, -0.128631, 0.188698, 0.065366, -0.128631
11322, -0.134569, 0.188244, 0.064060, -0.134569
11373, -0.141890, 0.187780, 0.062053, -0.141890
11424, -0.149224, 0.187361, 0.060820, -0.149224
11475, -0.153406, 0.186972, 0.059813, -0.153406
11526, -0.161134, 0.186555, 0.058662, -0.161134
11577, -0.166234, 0.186115, 0.057450, -0.166234
11628, -0.169401, 0.185652, 0.057348, -0.169401
11679, -0.172632, 0.185200, 0.057139, -0.172632
11730, -0.168571, 0.184775, 0.056663, -0.168571
11781, -0.153384, 0.184417, 0.055468, -0.153384
11832, -0.135329, 0.184283, 0.056035, -0.135329
11883, -0.122967, 0.184348, 0.057487, -0.122967
11934, -0.111486, 0.184612, 0.059623, -0.111486
11985, -0.104956, 0.185031, 0.062571, -0.104956
12036, -0.095369, 0.185582, 0.066066, -0.095369
12087, -0.087649, 0.186298, 0.068428, -0.087649
12138, -0.078476, 0.187199, 0.070090, -0.078476
12189, -0.067369, 0.188151, 0.070727, -0.067369
12240, -0.060193, 0.189107, 0.069362, -0.060193
12291, -0.054667, 0.190030, 0.068376, -0.054667
12342, -0.054394, 0.190920, 0.067677, -0.054394
12393, -0.053322, 0.191783, 0.065967, -0.053322
12444, -0.049826, 0.192647, 0.065206, -0.049826
12495, -0.046897, 0.193479, 0.064928, -0.046897
12546, -0.043186, 0.194270, 0.063129, -0.043186
12597, -0.041518, 0.195027, 0.061083, -0.041518
12648, -0.040096, 0.195767, 0.056929, -0.040096
12699, -0.040679, 0.196526, 0.052719, -0.040679
12750, -0.044235, 0.197308, 0.048471, -0.044235
12801, -0.049786, 0.198090, 0.043044, -0.049786
12852, -0.055298, 0.198845, 0.038176, -0.055298
12903, -0.059203, 0.199563, 0.035847, -0.059203
12954, -0.066513, 0.200263, 0.033129, -0.066513
13005, -0.071801, 0.200968, 0.030678, -0.071801
13056, -0.072458, 0.201654, 0.029951, -0.072458
13107, -0.075345, 0.202307, 0.028813, -0.075345
13158, -0.081325, 0.202942, 0.026923, -0.081325
13209, -0.083360, 0.203592, 0.025416, -0.083360
13260, -0.085385, 0.204223, 0.022139, -0.085385
13311, -0.086896, 0.204826, 0.018389, -0.086896
13362, -0.083254, 0.205445, 0.015068, -0.083254
13413, -0.075426, 0.206128, 0.011162, -0.075426
13464, -0.070752, 0.206913, 0.008647, -0.070752
13515, -0.068003, 0.207726, 0.007152, -0.068003
13566, -0.072384, 0.208518, 0.006070, -0.072384
13617, -0.078384, 0.209291, 0.005325, -0.078384
13668, -0.086932, 0.210042, 0.004474, -0.086932
13719, -0.095861, 0.210783, 0.002399, -0.095861
13770, -0.101615, 0.211482, 0.000947, -0.101615
13821, -0.105925, 0.212134, -0.000221, -0.105925
13872, -0.112279, 0.212757, -0.000467, -0.112279
13923, -0.113637, 0.213372, 0.000443, -0.113637
13974, -0.112923, 0.213999, 0.000616, -0.112923
14025, -0.113691, 0.214617, 0.000111, -0.113691
14076, -0.120156, 0.215255, -0.000273, -0.120156
14127, -0.127582, 0.215888, -0.000636, -0.127582
14178, -0.137970, 0.216520, -0.000469, -0.137970
14229, -0.150929, 0.217142, 0.000644, -0.150929
14280, -0.158380, 0.217753, 0.000937, -0.158380
14331, -0.162567, 0.218348, 0.000318, -0.162567
14382, -0.167060, 0.218938, -0.000868, -0.167060
14433, -0.172093, 0.219546, -0.002004, -0.172093
14484, -0.170841, 0.220158, -0.003575, -0.170841
14535, -0.167296, 0.220786, -0.006278, -0.167296
14586, -0.162282, 0.221408, -0.009264, -0.162282
14637, -0.156213, 0.222024, -0.010215, -0.156213
14688, -0.148016, 0.222610, -0.011022, -0.148016
14739, -0.137642, 0.223144, -0.012258, -0.137642
14790, -0.124687, 0.223631, -0.014739, -0.124687
14841, -0.106766, 0.224075, -0.018490, -0.106766
14892, -0.086754, 0.224477, -0.023015, -0.086754
14943, -0.074967, 0.224833, -0.027553, -0.074967
14994, -0.068832, 0.225159, -0.029964, -0.068832
15045, -0.065908, 0.225428, -0.032321, -0.065908
15096, -0.059470, 0.225622, -0.035036, -0.059470
15147, -0.051833, 0.225749, -0.037901, -0.051833
15198, -0.046635, 0.225857, -0.040396, -0.046635
15249, -0.044489, 0.225982, -0.042579, -0.044489
15300, -0.043540, 0.226090, -0.046148, -0.043540
15351, -0.042650, 0.226178, -0.051495, -0.042650
15402, -0.037836, 0.226227, -0.057745, -0.037836
15453, -0.033068, 0.226254, -0.064117, -0.033068
15504, -0.034179, 0.226285, -0.069486, -0.034179
15555, -0.034876, 0.226350, -0.073637, -0.034876
15606, -0.030244, 0.226405, -0.077952, -0.030244
15657, -0.024295, 0.226431, -0.083052, -0.024295
15708, -0.015341, 0.226435, -0.088485, -0.015341
15759, -0.005452, 0.226415, -0.093917, -0.005452
15810, 0.004552, 0.226366, -0.098061, 0.004552
15861, 0.014999, 0.226295, -0.101197, 0.014999
15912, 0.019301, 0.226224, -0.104364, 0.019301
15963, 0.027670, 0.226136, -0.105770, 0.027670
16014, 0.030656, 0.226029, -0.107070, 0.030656
16065, 0.036052, 0.225939, -0.107913, 0.036052
16116, 0.033277, 0.225898, -0.107381, 0.033277
16167, 0.028519, 0.225846, -0.106176, 0.028519
16218, 0.022935, 0.225770, -0.104422, 0.022935
16269, 0.014917, 0.225668, -0.102985, 0.014917
16320, 0.006094, 0.225541, -0.101178, 0.006094
16371, -0.005044, 0.225387, -0.097996, -0.005044
16422, -0.019631, 0.225225, -0.094517, -0.019631
16473, -0.026693, 0.225078, -0.092117, -0.026693
16524, -0.028419, 0.225001, -0.088382, -0.028419
16575, -0.032553, 0.225080, -0.084529, -0.032553
16626, -0.034778, 0.225292, -0.080755, -0.034778
16677, -0.034616, 0.225577, -0.076491, -0.034616
16728, -0.029471, 0.225844, -0.071753, -0.029471
16779, -0.023356, 0.226103, -0.067694, -0.023356
16830, -0.018540, 0.226343, -0.064006, -0.018540
16881, -0.016605, 0.226548, -0.059895, -0.016605
