Block_size, U, C_V, P, R
1, 1.000000, 1.000000, 1.000000, 1.000000
11, 10.948338, 11.000768, 10.958347, 10.948338
21, 20.813793, 21.002413, 20.849595, 20.813793
31, 30.585938, 31.003822, 30.665593, 30.585938
41, 40.262047, 40.994850, 40.391653, 40.262047
51, 49.881535, 51.005809, 50.081319, 49.881535
61, 59.375445, 60.992278, 59.676726, 59.375445
71, 68.837235, 70.991130, 69.222519, 68.837235
81, 78.176760, 80.988088, 78.693392, 78.176760
91, 87.581805, 91.002064, 88.142092, 87.581805
101, 96.770074, 100.935246, 97.440169, 96.770074
111, 105.999915, 110.989105, 106.788866, 105.999915
121, 115.087837, 120.915863, 115.948577, 115.087837
131, 124.003919, 130.876905, 125.170006, 124.003919
141, 132.744527, 140.852661, 134.067460, 132.744527
151, 141.574061, 150.800410, 143.143862, 141.574061
161, 150.274983, 160.699683, 151.987571, 150.274983
171, 159.350506, 170.847485, 161.257927, 159.350506
181, 167.568728, 180.791419, 169.698937, 167.568728
191, 176.409118, 190.716840, 178.443073, 176.409118
201, 183.884439, 200.543866, 186.483077, 183.884439
211, 192.660131, 210.584049, 195.429434, 192.660131
221, 201.038626, 220.447466, 203.879044, 201.038626
231, 209.559148, 230.738154, 213.011450, 209.559148
241, 217.446531, 240.763825, 221.097444, 217.446531
251, 226.302373, 250.311163, 229.697848, 226.302373
261, 233.143774, 259.931368, 237.693675, 233.143774
271, 240.325083, 269.576789, 245.524286, 240.325083
281, 250.416997, 279.776278, 254.895795, 250.416997
291, 258.256948, 289.421280, 262.836952, 258.256948
301, 265.640520, 299.119723, 270.801034, 265.640520
311, 273.317893, 309.434939, 279.364440, 273.317893
321, 282.254383, 319.637528, 286.721483, 282.254383
331, 286.666519, 329.511000, 293.642682, 286.666519
341, 293.572304, 339.861788, 300.713126, 293.572304
351, 302.187870, 350.492489, 309.525112, 302.187870
361, 308.215139, 359.478107, 315.852524, 308.215139
371, 318.865560, 369.737921, 325.440933, 318.865560
381, 326.911353, 379.191740, 334.007449, 326.911353
391, 334.452958, 389.100191, 342.296594, 334.452958
401, 340.049133, 397.959819, 347.931413, 340.049133
411, 346.497353, 407.205450, 356.287993, 346.497353
421, 352.719164, 416.840796, 363.371085, 352.719164
431, 358.626557, 425.402881, 368.129925, 358.626557
441, 365.033639, 436.009793, 376.941635, 365.033639
451, 374.123331, 445.275911, 383.251686, 374.123331
461, 383.059171, 455.189923, 394.962335, 383.059171
471, 393.122492, 464.053349, 402.803235, 393.122492
481, 396.216183, 474.636949, 408.087432, 396.216183
491, 405.158050, 483.943769, 414.047774, 405.158050
501, 408.374297, 493.850830, 420.966070, 408.374297
511, 414.609907, 504.171953, 426.443042, 414.609907
521, 421.709318, 514.635626, 435.859110, 421.709318
531, 426.966987, 523.216777, 438.639969, 426.966987
541, 434.861960, 534.764112, 448.387454, 434.861960
551, 445.787815, 543.940583, 459.400412, 445.787815
561, 455.082674, 553.641697, 470.460366, 455.082674
571, 448.180838, 563.461171, 464.606054, 448.180838
581, 453.104387, 573.745316, 471.233791, 453.104387
591, 463.998917, 584.212538, 477.802045, 463.998917
601, 472.188532, 594.875865, 488.532911, 472.188532
611, 478.444106, 605.861084, 488.972440, 478.444106
621, 485.712957, 614.332719, 500.414465, 485.712957
631, 487.330327, 626.606207, 504.145179, 487.330327
