T, U, C_V, P, r, Accepted ratio, Accepted ratio equilibrium, Iterations
300.000000, -2351.122498, 0.013971, 0.992000, 0.984000, 0.004272, 0.400000, 23409364
325.000000, -2350.577955, 0.023788, 0.990000, 0.980000, 0.007403, 0.400000, 13508281
350.000000, -2349.956599, 0.030999, 0.990000, 0.980000, 0.010938, 0.400000, 9142666
375.000000, -2349.054671, 0.029553, 0.978000, 0.957000, 0.016037, 0.400000, 6235584
400.000000, -2347.862867, 0.050889, 0.980000, 0.961000, 0.021844, 0.400000, 4577909
425.000000, -2346.460345, 0.055476, 0.964000, 0.931500, 0.029050, 0.400000, 3442299
450.000000, -2345.168765, 0.070341, 0.968000, 0.938000, 0.035145, 0.400000, 2845364
475.000000, -2343.047216, 0.066735, 0.926000, 0.862500, 0.045775, 0.400000, 2184613
500.000000, -2340.469173, 0.100863, 0.938000, 0.886500, 0.057752, 0.400000, 1731532
525.000000, -2338.133887, 0.086681, 0.904000, 0.831000, 0.069578, 0.400000, 1437240
550.000000, -2335.161408, 0.093570, 0.874000, 0.777000, 0.084715, 0.400000, 1180424
575.000000, -2331.197291, 0.167046, 0.834000, 0.724000, 0.104511, 0.400000, 956838
600.000000, -2326.236637, 0.165129, 0.830000, 0.718500, 0.131367, 1.000000, 761226
625.000000, -2322.213163, 0.160703, 0.784000, 0.651500, 0.156413, 1.000000, 639335
650.000000, -2317.109015, 0.238068, 0.708000, 0.547000, 0.190254, 1.000000, 525613
675.000000, -2308.708696, 0.310159, 0.710000, 0.564500, 0.252151, 1.000000, 396587
700.000000, -2304.562617, 0.214935, 0.406000, 0.322500, 0.295645, 1.000000, 338243
725.000000, -2297.008422, 0.185636, -0.446000, 0.353000, 0.380139, 1.000000, 263062
750.000000, -2292.231301, 0.070791, -0.112000, 0.237500, 0.449612, 1.000000, 222414
775.000000, -2290.468313, 0.056663, -0.082000, 0.223500, 0.482000, 1.000000, 207469
800.000000, -2290.040423, 0.057688, 0.084000, 0.191500, 0.495506, 1.000000, 201814
825.000000, -2288.338012, 0.030952, -0.094000, 0.178500, 0.525809, 1.000000, 190183
850.000000, -2287.791078, 0.023777, 0.022000, 0.203500, 0.540976, 1.000000, 184851
875.000000, -2287.129905, 0.024121, 0.024000, 0.141000, 0.554677, 1.000000, 180285
900.000000, -2286.335912, 0.025615, -0.056000, 0.179000, 0.573654, 1.000000, 174321
925.000000, -2286.015867, 0.021969, 0.072000, 0.180000, 0.585456, 1.000000, 170807
950.000000, -2285.375748, 0.016366, 0.034000, 0.147500, 0.600337, 1.000000, 166573
975.000000, -2284.822027, 0.019904, -0.106000, 0.138000, 0.613648, 1.000000, 162960
1000.000000, -2284.619214, 0.016614, 0.080000, 0.141500, 0.621724, 1.000000, 160843
