E_T_avg, N_sprinters, N_survived/N_sprinters (%), E_T
-2.843694, 989, 101.331967, -2.843694
-2.844941, 1005, 101.617796, -2.846188
-2.846599, 1010, 100.497512, -2.849916
-2.848583, 1016, 100.594059, -2.854536
-2.850564, 1020, 100.393701, -2.858485
-2.852703, 1026, 100.588235, -2.863398
-2.854745, 1029, 100.292398, -2.866996
-2.856410, 1027, 99.805637, -2.868066
-2.857782, 1025, 99.805258, -2.868756
-2.859162, 1028, 100.292683, -2.871589
-2.860151, 1022, 99.416342, -2.870043
-2.861017, 1021, 99.902153, -2.870543
-2.861817, 1021, 100.000000, -2.871409
-2.862942, 1032, 101.077375, -2.877566
-2.863959, 1031, 99.903101, -2.878206
-2.865095, 1037, 100.581959, -2.882125
-2.865907, 1028, 99.132112, -2.878902
-2.866593, 1025, 99.708171, -2.878253
-2.867191, 1023, 99.804878, -2.877963
-2.867662, 1019, 99.608993, -2.876602
-2.868040, 1016, 99.705594, -2.875598
-2.868534, 1022, 100.590551, -2.878920
-2.868794, 1012, 99.021526, -2.874499
-2.869001, 1010, 99.802372, -2.873769
-2.869061, 1003, 99.306931, -2.870499
-2.869080, 1001, 99.800598, -2.869561
-2.869136, 1003, 100.199800, -2.870578
-2.869153, 1001, 99.800598, -2.869635
-2.869188, 1002, 100.099900, -2.870152
-2.869154, 998, 99.600798, -2.868187
-2.869122, 998, 100.000000, -2.868153
-2.869200, 1005, 100.701403, -2.871616
-2.869200, 1000, 99.502488, -2.869200
-2.869273, 1005, 100.500000, -2.871694
-2.869472, 1014, 100.895522, -2.876225
-2.869733, 1019, 100.493097, -2.878883
-2.869948, 1016, 99.705594, -2.877670
-2.870157, 1016, 100.000000, -2.877885
-2.870448, 1023, 100.688976, -2.881527
-2.870757, 1025, 100.195503, -2.882795
-2.871058, 1025, 100.000000, -2.883103
-2.871282, 1019, 99.414634, -2.880469
-2.871398, 1010, 99.116781, -2.876257
-2.871511, 1010, 100.000000, -2.876373
-2.871566, 1005, 99.504950, -2.874005
-2.871490, 993, 98.805970, -2.868054
-2.871243, 977, 98.388721, -2.859856
-2.871043, 981, 100.409417, -2.861651
-2.870868, 983, 100.203874, -2.862470
-2.870727, 986, 100.305188, -2.863818
-2.870559, 983, 99.695740, -2.862154
-2.870433, 987, 100.406918, -2.864016
-2.870271, 983, 99.594732, -2.861860
-2.870065, 978, 99.491353, -2.859148
-2.869779, 969, 99.079755, -2.854320
-2.869534, 973, 100.412797, -2.856093
-2.869366, 981, 100.822199, -2.859943
-2.869174, 978, 99.694190, -2.858243
-2.869029, 983, 100.511247, -2.860601
-2.868920, 987, 100.406918, -2.862486
-2.868796, 985, 99.797366, -2.861363
-2.868699, 988, 100.304569, -2.862760
-2.868611, 989, 100.101215, -2.863168
-2.868611, 1000, 101.112235, -2.868611
-2.868634, 1003, 100.300000, -2.870109
-2.868619, 998, 99.501496, -2.867633
-2.868641, 1003, 100.501002, -2.870117
-2.868693, 1007, 100.398804, -2.872129
-2.868700, 1001, 99.404171, -2.869192
-2.868700, 1000, 99.900100, -2.868700
-2.868672, 996, 99.600000, -2.866696
-2.868658, 998, 100.200803, -2.867671
-2.868651, 999, 100.100200, -2.868157
-2.868603, 993, 99.399399, -2.865138
-2.868617, 1002, 100.906344, -2.869602
-2.868656, 1006, 100.399202, -2.871608
-2.868721, 1010, 100.397614, -2.873631
-2.868791, 1011, 100.099010, -2.874191
-2.868872, 1013, 100.197824, -2.875249
-2.868910, 1006, 99.308983, -2.871864
-2.868910, 1000, 99.403579, -2.868910
-2.868879, 995, 99.500000, -2.866404
-2.868837, 993, 99.798995, -2.865367
-2.868813, 996, 100.302115, -2.866833
-2.868754, 990, 99.397590, -2.863788
-2.868707, 992, 100.202020, -2.864738
-2.868673, 994, 100.201613, -2.865698
-2.868627, 992, 99.798793, -2.864657
-2.868588, 993, 100.100806, -2.865115
-2.868554, 994, 100.100705, -2.865579
-2.868549, 999, 100.503018, -2.868054
-2.868549, 1000, 100.100100, -2.868549
-2.868565, 1003, 100.300000, -2.870046
-2.868575, 1002, 99.900299, -2.869564
-2.868596, 1004, 100.199601, -2.870571
-2.868591, 999, 99.501992, -2.868096
-2.868622, 1006, 100.700701, -2.871582
-2.868555, 987, 98.111332, -2.862079
-2.868530, 995, 100.810537, -2.866049
-2.868500, 994, 99.899497, -2.865521
-2.868480, 996, 100.201207, -2.866496
-2.868451, 994, 99.799197, -2.865471
-2.868441, 998, 100.402414, -2.867450
-2.868412, 994, 99.599198, -2.865432
-2.868398, 997, 100.301811, -2.866910
-2.868402, 1001, 100.401204, -2.868897
-2.868384, 996, 99.500500, -2.866398
-2.868393, 1002, 100.602410, -2.869383
-2.868411, 1004, 100.199601, -2.870389
-2.868365, 990, 98.605578, -2.863386
-2.868293, 984, 99.393939, -2.860301
-2.868234, 987, 100.304878, -2.861750
-2.868217, 996, 100.911854, -2.866230
-2.868243, 1006, 101.004016, -2.871208
-2.868299, 1013, 100.695825, -2.874701
-2.868333, 1008, 99.506417, -2.872283
-2.868414, 1019, 101.091270, -2.877744
-2.868485, 1017, 99.803729, -2.876842
-2.868577, 1022, 100.491642, -2.879366
-2.868680, 1025, 100.293542, -2.880923
-2.868782, 1025, 100.000000, -2.881026
-2.868895, 1028, 100.292683, -2.882589
-2.868991, 1024, 99.610895, -2.880753
-2.869079, 1022, 99.804688, -2.879872
-2.869162, 1021, 99.902153, -2.879470
-2.869217, 1014, 99.314398, -2.876114
-2.869299, 1021, 100.690335, -2.879609
-2.869357, 1015, 99.412341, -2.876743
-2.869400, 1011, 99.605911, -2.874827
-2.869461, 1016, 100.494560, -2.877336
-2.869529, 1018, 100.196850, -2.878381
-2.869581, 1014, 99.607073, -2.876480
-2.869656, 1020, 100.591716, -2.879483
-2.869730, 1020, 100.000000, -2.879557
-2.869799, 1019, 99.901961, -2.879141
-2.869843, 1012, 99.313052, -2.875764
-2.869898, 1015, 100.296443, -2.877288
-2.869937, 1011, 99.605911, -2.875368
-2.869977, 1011, 100.000000, -2.875407
-2.870033, 1016, 100.494560, -2.877913
-2.870138, 1030, 101.377953, -2.884813
-2.870225, 1025, 99.514563, -2.882484
-2.870328, 1030, 100.487805, -2.885005
-2.870434, 1031, 100.097087, -2.885593
-2.870523, 1026, 99.515034, -2.883268
-2.870591, 1020, 99.415205, -2.880424
-2.870648, 1017, 99.705882, -2.879019
-2.870692, 1013, 99.606686, -2.877106
-2.870748, 1017, 100.394867, -2.879120
-2.870798, 1015, 99.803343, -2.878193
-2.870857, 1018, 100.295567, -2.879718
-2.870909, 1016, 99.803536, -2.878794
-2.870955, 1014, 99.803150, -2.877861
-2.870990, 1011, 99.704142, -2.876425
-2.871035, 1014, 100.296736, -2.877942
-2.871124, 1028, 101.380671, -2.884843
-2.871236, 1036, 100.778210, -2.888807
-2.871354, 1038, 100.193050, -2.889884
-2.871472, 1038, 100.000000, -2.890002
-2.871579, 1035, 99.710983, -2.888672
-2.871674, 1031, 99.613527, -2.886844
-2.871765, 1030, 99.903007, -2.886453
-2.871850, 1028, 99.805825, -2.885573
-2.871919, 1023, 99.513619, -2.883220
-2.871970, 1017, 99.413490, -2.880348
-2.872024, 1018, 100.098328, -2.880890
-2.872083, 1020, 100.196464, -2.881925
-2.872122, 1013, 99.313725, -2.878541
-2.872163, 1014, 100.098717, -2.879073
-2.872189, 1009, 99.506903, -2.876643
-2.872201, 1004, 99.504460, -2.874185
-2.872192, 997, 99.302789, -2.870699
-2.872192, 1000, 100.300903, -2.872192
-2.872198, 1002, 100.200000, -2.873191
-2.872178, 993, 99.101796, -2.868686
-2.872155, 992, 99.899295, -2.868162
-2.872135, 993, 100.100806, -2.868643
-2.872113, 992, 99.899295, -2.868119
-2.872093, 993, 100.100806, -2.868600
-2.872076, 994, 100.100705, -2.869084
-2.872079, 1001, 100.704225, -2.872576
-2.872073, 998, 99.700300, -2.871078
-2.872049, 991, 99.298597, -2.867553
-2.871999, 982, 99.091826, -2.862967
-2.871980, 993, 101.120163, -2.868487
-2.871972, 997, 100.402820, -2.870478
-2.871956, 994, 99.699097, -2.868963
-2.871924, 988, 99.396378, -2.865920
-2.871863, 977, 98.886640, -2.860290
-2.871791, 973, 99.590583, -2.858177
-2.871697, 965, 99.177801, -2.853977
-2.871602, 964, 99.896373, -2.853365
-2.871507, 964, 100.000000, -2.853270
-2.871410, 963, 99.896266, -2.852656
-2.871313, 963, 100.000000, -2.852559
-2.871219, 964, 100.103842, -2.852981
-2.871137, 968, 100.414938, -2.854958
-2.871070, 974, 100.619835, -2.857965
-2.870999, 972, 99.794661, -2.856871
-2.870910, 965, 99.279835, -2.853185
-2.870814, 962, 99.689119, -2.851540
-2.870733, 968, 100.623701, -2.854552
-2.870653, 968, 100.000000, -2.854471
-2.870583, 972, 100.413223, -2.856453
-2.870499, 966, 99.382716, -2.853288
-2.870425, 970, 100.414079, -2.855269
-2.870366, 976, 100.618557, -2.858279
-2.870301, 973, 99.692623, -2.856681
-2.870245, 977, 100.411100, -2.858666
-2.870187, 976, 99.897646, -2.858099
-2.870120, 972, 99.590164, -2.855987
-2.870067, 978, 100.617284, -2.858997
-2.870015, 978, 100.000000, -2.858945
-2.869980, 985, 100.715746, -2.862458
-2.869961, 992, 100.710660, -2.865964
-2.869926, 985, 99.294355, -2.862404
-2.869882, 981, 99.593909, -2.860335
-2.869843, 983, 100.203874, -2.861309
-2.869801, 982, 99.898271, -2.860761
-2.869748, 977, 99.490835, -2.858167
-2.869707, 982, 100.511771, -2.860666
-2.869673, 985, 100.305499, -2.862150
-2.869635, 983, 99.796954, -2.861100
-2.869596, 983, 100.000000, -2.861062
-2.869590, 997, 101.424212, -2.868094
-2.869592, 1001, 100.401204, -2.870089
-2.869581, 995, 99.400599, -2.867086
-2.869587, 1003, 100.804020, -2.871079
-2.869574, 994, 99.102692, -2.866578
-2.869581, 1003, 100.905433, -2.871072
-2.869579, 999, 99.601196, -2.869081
-2.869577, 999, 100.000000, -2.869078
-2.869566, 995, 99.599600, -2.867070
-2.869559, 997, 100.201005, -2.868063
-2.869570, 1005, 100.802407, -2.872053
-2.869591, 1010, 100.497512, -2.874545
-2.869614, 1011, 100.099010, -2.875061
-2.869641, 1013, 100.197824, -2.876072
-2.869664, 1011, 99.802567, -2.875111
-2.869675, 1005, 99.406528, -2.872158
-2.869666, 996, 99.104478, -2.867670
-2.869685, 1009, 101.305221, -2.874146
-2.869691, 1003, 99.405352, -2.871182
-2.869679, 994, 99.102692, -2.866682
-2.869660, 991, 99.698189, -2.865158
-2.869636, 988, 99.697275, -2.863624
-2.869621, 993, 100.506073, -2.866123
-2.869621, 1000, 100.704935, -2.869621
-2.869611, 995, 99.500000, -2.867115
-2.869603, 996, 100.100503, -2.867607
-2.869597, 997, 100.100402, -2.868101
-2.869585, 994, 99.699097, -2.866588
-2.869585, 1000, 100.603622, -2.869585
-2.869613, 1014, 101.400000, -2.876537
-2.869621, 1004, 99.013807, -2.871609
-2.869638, 1009, 100.498008, -2.874100
-2.869657, 1010, 100.099108, -2.874613
-2.869667, 1005, 99.504950, -2.872151
-2.869663, 998, 99.303483, -2.868666
-2.869657, 997, 99.899800, -2.868161
-2.869650, 996, 99.899699, -2.867653
-2.869631, 990, 99.397590, -2.864625
-2.869608, 988, 99.797980, -2.863594
-2.869590, 991, 100.303644, -2.865087
-2.869568, 988, 99.697275, -2.863554
-2.869554, 993, 100.506073, -2.866055
-2.869541, 993, 100.000000, -2.866042
-2.869523, 990, 99.697885, -2.864516
-2.869506, 991, 100.101010, -2.865002
-2.869498, 996, 100.504541, -2.867502
-2.869493, 997, 100.100402, -2.867996
-2.869487, 997, 100.000000, -2.867991
-2.869493, 1003, 100.601805, -2.870985
-2.869495, 1001, 99.800598, -2.869993
-2.869496, 1001, 100.000000, -2.869994
-2.869507, 1006, 100.499500, -2.872487
-2.869514, 1004, 99.801193, -2.871503
-2.869527, 1007, 100.298805, -2.873002
-2.869534, 1004, 99.702085, -2.871523
-2.869527, 996, 99.203187, -2.867530
-2.869515, 993, 99.698795, -2.866015
-2.869520, 1003, 101.007049, -2.871012
-2.869534, 1008, 100.498504, -2.873504
-2.869541, 1004, 99.603175, -2.871530
-2.869544, 1002, 99.800797, -2.870540
-2.869551, 1004, 100.199601, -2.871540
-2.869551, 1000, 99.601594, -2.869551
-2.869557, 1003, 100.300000, -2.871049
-2.869565, 1005, 100.199402, -2.872050
-2.869567, 1001, 99.601990, -2.870065
-2.869567, 1000, 99.900100, -2.869567
-2.869560, 996, 99.600000, -2.867563
-2.869555, 997, 100.100402, -2.868058
-2.869565, 1006, 100.902708, -2.872546
-2.869577, 1007, 100.099404, -2.873053
-2.869570, 996, 98.907646, -2.867573
-2.869570, 1000, 100.401606, -2.869570
-2.869587, 1010, 101.000000, -2.874545
-2.869612, 1015, 100.495050, -2.877031
-2.869643, 1019, 100.394089, -2.879023
-2.869687, 1027, 100.785083, -2.882964
-2.869730, 1026, 99.902629, -2.882521
-2.869764, 1021, 99.512671, -2.880121
-2.869802, 1023, 100.195886, -2.881134
-2.869828, 1016, 99.315738, -2.877738
-2.869855, 1017, 100.098425, -2.878256
-2.869873, 1011, 99.410029, -2.875325
-2.869881, 1005, 99.406528, -2.872367
-2.869892, 1007, 100.199005, -2.873369
-2.869897, 1003, 99.602781, -2.871390
-2.869913, 1010, 100.697906, -2.874872
-2.869929, 1010, 100.000000, -2.874888
-2.869943, 1009, 99.900990, -2.874409
-2.869947, 1002, 99.306244, -2.870942
-2.869943, 998, 99.600798, -2.868946
-2.869931, 992, 99.398798, -2.865927
-2.869916, 991, 99.899194, -2.865410
-2.869904, 992, 100.100908, -2.865900
-2.869899, 997, 100.504032, -2.868402
-2.869893, 996, 99.899699, -2.867895
-2.869887, 996, 100.000000, -2.867889
-2.869873, 991, 99.497992, -2.865366
-2.869848, 984, 99.293643, -2.861808
-2.869802, 971, 98.678862, -2.855133
-2.869755, 970, 99.897013, -2.854573
